id,novel,motivation,experiment,relatework,readable,arxiv,Fscore
130,0,-1,-1,0,0,-1,1
131,0,0,-1,0,0,-1,1
132,0,0,-1,0,0,-1,1
133,0,0,0,0,0,-1,0.428571429
134,0,1,0,0,0,-1,1
135,0,0,-1,0,0,-1,0.428571429
136,1,0,1,0,0,-1,0.428571429
137,0,0,-1,-1,0,-1,-0.428571429
138,0,0,-1,0,0,-1,0.428571429
139,0,0,-1,0,0,-1,-0.428571429
140,0,0,-1,0,-1,-1,1
141,0,0,0,0,0,-1,-1
142,0,0,-1,-1,0,-1,-0.428571429
143,-1,0,-1,0,0,-1,-0.428571429
144,-1,0,-1,-1,0,-1,-1
145,1,0,0,0,0,-1,-0.428571429
146,-1,0,-1,0,0,-1,-0.428571429
147,-1,0,-1,-1,0,-1,-0.428571429
148,0,0,-1,0,0,-1,0.428571429
149,0,-1,-1,-1,-1,-1,0.428571429
150,0,0,-1,0,0,-1,0.428571429
151,0,0,-1,0,0,-1,-0.428571429
152,1,0,-1,-1,0,-1,-0.428571429
153,0,1,-1,0,-1,-1,-0.428571429
154,0,0,-1,0,-1,-1,-0.428571429
155,0,0,1,0,0,1,1
156,0,0,-1,-1,-1,1,0.428571429
157,-1,-1,-1,-1,-1,1,-1
158,-1,0,-1,0,0,-1,-0.428571429
159,0,0,-1,-1,0,-1,-0.428571429
160,0,0,-1,1,0,-1,0.428571429
161,0,0,0,-1,0,1,1
162,-1,0,0,-1,-1,1,1
163,1,0,-1,0,0,-1,0.428571429
164,0,-1,-1,0,-1,-1,-0.428571429
165,-1,0,-1,0,0,-1,-1
166,0,0,-1,0,0,-1,-0.428571429
167,0,0,0,0,0,-1,0.428571429
168,0,0,-1,0,0,-1,1
169,0,0,-1,0,0,-1,-0.428571429
170,0,-1,0,0,0,-1,-0.428571429
171,0,0,-1,0,0,-1,0.428571429
172,0,0,-1,0,0,-1,0.428571429
173,1,0,-1,-1,0,1,0.428571429
174,-1,0,-1,-1,0,1,1
175,0,0,-1,0,0,1,0.428571429
176,1,0,-1,0,0,-1,0.428571429
177,-1,-1,0,0,-1,-1,-0.428571429
178,0,-1,0,0,0,-1,-0.428571429
179,1,0,0,-1,0,-1,0.428571429
180,0,0,-1,0,0,-1,-0.428571429
181,-1,0,-1,0,0,-1,-0.428571429
182,-1,0,-1,0,-1,-1,-0.428571429
183,-1,0,0,0,0,-1,-0.428571429
184,0,0,-1,0,0,-1,-0.428571429
185,0,0,-1,-1,0,-1,-0.428571429
186,0,0,-1,0,0,-1,-0.428571429
187,0,-1,-1,0,0,-1,-0.428571429
188,-1,0,-1,0,0,-1,-1
189,0,0,-1,0,0,-1,-0.428571429
190,1,0,0,-1,0,-1,0.428571429
191,0,0,0,0,0,-1,1
192,0,1,-1,0,-1,-1,-0.428571429
193,-1,0,-1,0,0,-1,-1
194,0,0,-1,0,0,-1,-0.428571429
195,-1,0,1,0,0,-1,0.428571429
196,0,0,-1,0,0,-1,-0.428571429
197,-1,0,-1,-1,0,-1,0.428571429
198,0,0,0,0,1,-1,-0.428571429
199,0,0,-1,-1,0,-1,-0.428571429
200,1,0,1,0,-1,-1,-0.428571429
201,-1,0,-1,0,-1,-1,0.428571429
202,0,0,0,0,0,1,0.428571429
203,0,0,-1,0,-1,1,-0.428571429
204,0,0,-1,0,0,1,0.428571429
205,0,0,-1,-1,0,-1,0.428571429
206,-1,0,-1,-1,-1,-1,0.428571429
207,0,0,-1,0,0,-1,0.428571429
208,0,-1,-1,0,0,-1,0.428571429
209,0,0,-1,0,0,-1,-0.428571429
210,-1,-1,-1,0,0,-1,-1
211,-1,0,-1,0,0,-1,-0.428571429
212,0,0,0,0,0,-1,0.428571429
213,0,0,-1,-1,0,-1,0.428571429
214,-1,0,0,0,0,-1,0.428571429
215,0,0,-1,-1,0,-1,-0.428571429
216,-1,0,0,0,0,-1,-0.428571429
217,0,0,-1,0,-1,-1,0.428571429
218,0,0,-1,-1,0,-1,-0.428571429
219,-1,0,-1,-1,0,-1,1
220,-1,0,-1,0,-1,-1,-0.428571429
221,0,0,-1,0,0,-1,0.428571429
222,0,0,-1,0,0,-1,0.428571429
223,1,-1,-1,0,-1,-1,-0.428571429
224,1,0,-1,0,0,-1,0.428571429
225,0,0,-1,0,0,-1,-0.428571429
226,0,0,-1,0,0,-1,-0.428571429
227,0,0,0,0,0,-1,0.428571429
228,-1,0,-1,0,-1,-1,-0.428571429
229,0,0,0,0,0,-1,0.428571429
230,0,0,1,0,0,-1,0.428571429
231,0,0,0,-1,0,-1,-0.428571429
232,-1,0,0,0,0,-1,-0.428571429
233,1,0,0,0,0,-1,-1
234,1,0,0,0,0,-1,-1
235,0,0,-1,0,0,-1,-1
236,0,0,-1,0,0,-1,0.428571429
237,1,0,-1,0,0,-1,-0.428571429
238,-1,0,-1,0,0,-1,-0.428571429
239,-1,0,-1,-1,0,-1,-0.428571429
240,-1,0,1,-1,0,-1,-0.428571429
241,0,0,0,0,1,1,0.428571429
242,0,0,0,0,0,1,0.428571429
243,0,0,-1,0,0,-1,-0.428571429
244,0,-1,-1,0,0,-1,-0.428571429
245,-1,0,-1,0,-1,-1,-0.428571429
246,0,-1,0,0,0,1,-0.428571429
247,0,0,1,-1,0,1,0.428571429
248,0,0,0,0,0,1,-0.428571429
249,1,-1,-1,0,-1,1,-1
250,-1,0,-1,0,-1,1,-0.428571429
251,0,0,0,0,-1,-1,-0.428571429
252,0,-1,-1,-1,-1,-1,-0.428571429
253,-1,0,-1,0,-1,-1,0.428571429
254,0,-1,0,0,0,1,0.428571429
255,0,0,0,0,0,1,-0.428571429
256,0,0,-1,0,-1,1,-0.428571429
257,0,1,-1,0,-1,-1,-0.428571429
258,0,0,1,0,0,-1,0.428571429
259,0,0,-1,0,-1,-1,-0.428571429
260,0,1,-1,-1,0,-1,0.428571429
261,1,0,-1,0,0,-1,-0.428571429
262,-1,0,-1,0,0,-1,-1
263,0,0,0,0,0,-1,-1
264,0,0,-1,0,0,-1,-0.428571429
265,0,0,0,0,-1,-1,-0.428571429
266,0,0,-1,0,0,-1,-0.428571429
267,0,0,0,0,0,-1,-0.428571429
268,-1,0,0,0,0,-1,-0.428571429
269,0,0,-1,0,0,-1,0.428571429
270,-1,-1,-1,-1,0,-1,0.428571429
271,1,-1,-1,-1,-1,-1,-0.428571429
272,0,0,-1,0,0,1,-1
273,0,0,1,0,0,1,1
274,0,0,-1,0,0,1,0.428571429
275,1,0,0,0,0,-1,0.428571429
276,1,0,-1,-1,0,-1,1
277,0,0,-1,0,-1,-1,1
278,0,0,-1,-1,0,-1,0.428571429
279,0,0,-1,0,0,-1,0.428571429
280,0,0,-1,-1,0,-1,0.428571429
281,-1,0,-1,-1,0,-1,-0.428571429
282,1,0,1,-1,0,-1,1
283,0,-1,-1,0,-1,-1,-1
284,0,1,1,0,0,-1,-0.428571429
285,-1,0,-1,0,0,-1,-0.428571429
286,0,0,-1,0,0,-1,-0.428571429
287,-1,0,-1,0,0,-1,-1
288,0,0,0,-1,0,-1,1
289,0,0,0,0,-1,-1,-1
290,0,0,0,-1,0,-1,-1
291,0,0,-1,0,0,-1,-0.428571429
292,0,0,-1,0,0,-1,-0.428571429
293,-1,1,-1,0,0,-1,-0.428571429
294,0,0,0,0,0,-1,-1
295,0,0,-1,0,0,-1,1
296,0,0,-1,0,0,-1,0.428571429
297,0,0,-1,0,0,-1,-1
298,0,0,-1,-1,0,-1,1
299,0,0,0,0,0,-1,-0.428571429
300,0,-1,-1,0,0,-1,0.428571429
301,-1,0,0,-1,-1,-1,0.428571429
302,0,1,0,0,0,-1,0.428571429
303,0,0,-1,0,0,-1,-0.428571429
304,0,0,-1,0,0,-1,-1
305,0,0,0,0,0,-1,0.428571429
306,0,1,0,-1,0,-1,-0.428571429
307,0,0,-1,0,0,-1,1
308,0,0,-1,0,0,-1,0.428571429
309,0,0,-1,0,-1,-1,0.428571429
310,0,0,-1,0,0,-1,0.428571429
311,0,0,-1,0,0,-1,0.428571429
312,0,0,1,0,0,-1,0.428571429
313,0,0,-1,0,0,-1,0.428571429
314,0,0,1,0,0,-1,1
315,0,0,-1,-1,-1,-1,-0.428571429
316,-1,0,0,0,0,-1,-0.428571429
317,0,0,-1,0,0,-1,-0.428571429
318,-1,0,-1,0,0,-1,0.428571429
319,0,1,-1,-1,0,-1,0.428571429
320,0,0,-1,0,-1,-1,-0.428571429
321,-1,0,-1,0,0,1,0.428571429
322,0,0,0,0,0,1,0.428571429
323,-1,0,-1,-1,0,1,-0.428571429
324,0,0,-1,0,0,-1,0.428571429
325,0,0,1,0,0,-1,0.428571429
326,-1,0,0,0,-1,-1,-1
327,0,0,-1,-1,-1,-1,-0.428571429
328,0,0,-1,0,0,-1,-0.428571429
329,0,0,-1,0,0,-1,-0.428571429
330,-1,0,1,0,0,-1,-0.428571429
331,1,0,0,0,0,1,0.428571429
332,0,1,-1,-1,0,1,1
333,0,0,-1,0,0,-1,-0.428571429
334,0,0,-1,-1,0,-1,-1
335,-1,0,-1,0,0,-1,-0.428571429
336,1,0,-1,-1,0,-1,-0.428571429
337,-1,0,0,0,0,-1,-0.428571429
338,0,1,-1,0,0,-1,0.428571429
339,1,0,-1,0,0,-1,0.428571429
340,-1,0,-1,1,0,-1,0.428571429
341,0,0,-1,0,-1,-1,-0.428571429
342,0,-1,-1,-1,-1,-1,-0.428571429
343,-1,-1,0,0,0,-1,-0.428571429
344,0,0,-1,0,0,-1,0.428571429
345,0,0,-1,0,-1,-1,-0.428571429
346,0,0,-1,0,0,-1,0.428571429
347,0,0,0,0,0,-1,-0.428571429
348,0,0,-1,-1,0,-1,0.428571429
349,-1,0,-1,0,0,-1,0.428571429
350,1,0,-1,0,-1,-1,-0.428571429
351,0,0,-1,0,0,-1,-0.428571429
352,0,0,-1,0,-1,-1,-1
353,-1,0,0,-1,0,-1,-1
354,-1,0,-1,0,0,-1,0.428571429
355,-1,0,-1,-1,-1,-1,-1
356,0,0,-1,0,0,-1,-0.428571429
357,-1,0,1,0,0,-1,-0.428571429
358,-1,0,0,0,0,-1,0.428571429
359,0,0,0,0,0,-1,0.428571429
360,0,0,0,-1,0,-1,1
361,0,0,0,0,0,-1,1
362,-1,0,0,0,0,-1,-1
363,-1,0,-1,0,-1,-1,0.428571429
364,0,0,-1,0,-1,-1,-0.428571429
365,0,0,1,0,0,1,0.428571429
366,0,0,-1,-1,-1,1,-1
367,0,0,1,0,0,1,0.428571429
368,0,1,0,0,0,1,0.428571429
369,0,0,-1,0,0,1,-1
370,0,0,0,-1,0,-1,-0.428571429
371,0,0,0,0,-1,-1,-0.428571429
372,0,-1,-1,0,0,-1,0.428571429
373,-1,0,-1,0,0,-1,-0.428571429
374,0,0,1,0,-1,-1,-1
375,0,0,-1,0,0,-1,-0.428571429
376,-1,-1,-1,-1,-1,-1,-0.428571429
377,-1,0,-1,0,0,-1,-0.428571429
378,0,0,-1,0,0,-1,-0.428571429
379,-1,0,-1,0,0,-1,-1
380,0,0,0,0,0,-1,-0.428571429
381,-1,-1,0,0,0,-1,-0.428571429
382,-1,0,0,0,0,-1,0.428571429
383,1,0,-1,0,-1,-1,-0.428571429
384,-1,0,-1,-1,0,-1,-0.428571429
385,0,0,-1,0,0,-1,-0.428571429
386,0,0,-1,0,0,-1,0.428571429
387,0,0,-1,-1,0,-1,-0.428571429
388,0,0,-1,-1,0,-1,-0.428571429
389,0,0,-1,0,0,-1,1
390,0,0,-1,0,0,-1,-0.428571429
391,-1,0,0,0,-1,-1,-0.428571429
392,0,0,0,0,-1,1,0.428571429
393,-1,0,0,0,-1,1,-0.428571429
394,0,0,-1,0,0,1,-1
395,-1,0,-1,-1,-1,-1,-1
396,-1,0,1,0,0,-1,-0.428571429
397,0,0,-1,0,0,-1,-0.428571429
398,0,-1,-1,0,0,-1,0.428571429
399,0,0,-1,-1,0,-1,-0.428571429
400,-1,0,0,-1,0,-1,-1
401,0,0,0,-1,0,-1,-0.428571429
402,-1,0,-1,0,0,-1,-0.428571429
403,1,0,-1,0,-1,-1,0.428571429
404,0,0,-1,-1,-1,-1,0.428571429
405,-1,0,-1,-1,0,-1,-1
406,-1,0,1,0,0,-1,-0.428571429
407,-1,0,-1,0,1,-1,-1
408,-1,0,1,0,-1,-1,0.428571429
409,-1,0,-1,0,1,-1,-0.428571429
410,0,0,-1,0,-1,-1,-0.428571429
411,0,0,-1,0,0,-1,-0.428571429
412,0,0,1,0,0,-1,0.428571429
413,-1,0,-1,0,0,-1,-0.428571429
414,-1,0,-1,0,0,-1,0.428571429
415,-1,0,-1,0,0,-1,-0.428571429
416,0,0,-1,0,0,-1,-1
417,0,0,-1,-1,0,-1,-1
418,-1,0,-1,0,0,-1,-1
419,0,0,0,-1,0,-1,-1
420,-1,0,-1,0,0,-1,-0.428571429
421,0,0,-1,0,0,-1,-0.428571429
422,0,0,0,-1,0,-1,1
423,0,0,-1,0,0,-1,-0.428571429
424,0,0,0,-1,0,-1,-0.428571429
425,0,1,-1,0,0,-1,0.428571429
426,0,-1,-1,0,-1,-1,1
427,0,0,-1,1,-1,-1,0.428571429
428,0,1,-1,0,0,-1,-0.428571429
429,-1,0,-1,0,0,-1,-0.428571429
430,0,0,0,0,0,-1,0.428571429
431,0,0,0,0,0,-1,-1
432,0,0,0,-1,0,-1,-0.428571429
433,0,0,-1,-1,0,-1,-0.428571429
434,-1,0,-1,0,-1,-1,-1
435,0,0,-1,-1,0,-1,-1
436,-1,0,0,0,-1,-1,-1
437,0,0,-1,0,-1,-1,-0.428571429
438,0,-1,-1,0,-1,-1,-1
439,0,1,-1,0,0,-1,0.428571429
440,0,0,-1,0,1,-1,1
441,0,-1,-1,0,0,-1,-1
442,0,0,-1,0,0,-1,0.428571429
443,0,0,-1,0,0,-1,-1
444,0,0,0,0,0,-1,-0.428571429
445,0,0,-1,0,0,-1,-0.428571429
446,0,0,-1,-1,0,-1,-0.428571429
447,-1,-1,-1,0,0,-1,-0.428571429
448,-1,0,-1,0,0,-1,-1
449,0,0,0,0,0,-1,-1
450,0,0,-1,0,0,1,-0.428571429
451,-1,0,-1,0,-1,1,-0.428571429
452,0,0,0,0,0,1,0.428571429
453,-1,0,-1,0,0,-1,-0.428571429
454,0,0,0,0,0,-1,-0.428571429
455,0,0,-1,0,0,-1,-1
456,0,0,-1,0,0,-1,-0.428571429
457,0,-1,-1,-1,0,-1,-1
458,-1,-1,-1,0,0,-1,-0.428571429
459,0,0,0,-1,0,-1,-0.428571429
460,-1,0,0,0,0,-1,-0.428571429
461,-1,0,-1,0,0,-1,-1
462,-1,0,-1,0,0,-1,-1
463,0,0,-1,0,-1,-1,0.428571429
464,0,1,-1,-1,-1,-1,0.428571429
465,0,0,-1,0,0,-1,0.428571429
466,0,1,0,0,-1,-1,0.428571429
467,0,0,-1,0,-1,-1,-0.428571429
468,-1,0,0,0,0,-1,-0.428571429
469,0,0,-1,-1,0,-1,-0.428571429
470,0,0,0,0,0,-1,-0.428571429
471,-1,0,-1,0,0,-1,-1
472,0,-1,0,0,-1,1,0.428571429
473,0,0,-1,0,0,1,0.428571429
474,0,-1,0,0,0,1,-0.428571429
475,0,0,-1,0,0,-1,-0.428571429
476,0,0,0,0,0,-1,-0.428571429
477,0,0,-1,0,-1,-1,-0.428571429
478,0,0,-1,0,0,-1,0.428571429
479,-1,0,-1,0,-1,-1,0.428571429
480,0,0,-1,0,0,-1,-0.428571429
481,0,-1,1,0,0,-1,0.428571429
482,0,0,-1,0,0,-1,-0.428571429
483,0,0,-1,0,-1,-1,-0.428571429
484,-1,0,-1,0,0,-1,-1
485,0,-1,-1,0,-1,-1,-0.428571429
486,-1,0,0,0,0,-1,-0.428571429
487,0,0,-1,0,-1,-1,-1
488,0,0,-1,-1,-1,-1,0.428571429
489,0,0,-1,0,-1,-1,-1
490,0,0,0,-1,-1,-1,0.428571429
491,0,0,-1,-1,-1,-1,-0.428571429
492,0,0,-1,0,0,-1,-1
493,0,-1,-1,0,0,-1,-1
494,1,-1,1,0,0,-1,-0.428571429
495,0,0,-1,-1,-1,-1,-0.428571429
496,0,-1,-1,-1,0,-1,-0.428571429
497,0,0,0,-1,0,-1,-1
498,-1,0,-1,0,0,-1,-0.428571429
499,0,0,-1,-1,0,-1,0.428571429
500,-1,-1,-1,0,-1,-1,-0.428571429
501,0,-1,-1,0,0,-1,-0.428571429
502,0,-1,-1,0,0,-1,-1
503,0,1,-1,0,0,-1,-0.428571429
504,0,0,0,0,0,-1,0.428571429
505,-1,0,-1,0,0,-1,-0.428571429
506,0,-1,-1,0,0,-1,-1
507,0,0,-1,0,0,-1,0.428571429
508,-1,0,-1,0,-1,-1,-0.428571429
509,0,0,0,0,0,-1,-0.428571429
510,0,0,-1,0,0,-1,0.428571429
511,-1,-1,1,1,0,-1,0.428571429
512,-1,0,-1,-1,-1,-1,-0.428571429
513,0,0,1,0,0,-1,0.428571429
514,0,0,-1,0,0,-1,1
515,0,0,-1,0,0,-1,0.428571429
516,0,0,-1,0,0,-1,1
517,0,0,0,0,0,-1,0.428571429
518,0,0,1,0,0,-1,0.428571429
519,0,0,-1,0,0,-1,0.428571429
520,-1,0,-1,0,0,-1,-0.428571429
521,0,0,-1,-1,0,-1,-0.428571429
522,1,0,-1,0,1,-1,-0.428571429
523,0,0,-1,-1,0,-1,-0.428571429
524,0,0,1,0,0,-1,-0.428571429
525,-1,-1,-1,0,0,-1,1
526,0,0,0,0,0,-1,-0.428571429
527,-1,0,1,0,0,-1,-0.428571429
528,-1,-1,0,0,0,-1,0.428571429
529,0,0,1,-1,-1,-1,-0.428571429
530,0,0,-1,0,0,-1,0.428571429
531,0,0,-1,0,0,-1,-0.428571429
532,0,-1,1,0,0,-1,-0.428571429
533,-1,0,-1,0,0,-1,0.428571429
534,0,1,1,0,0,-1,-0.428571429
535,0,0,0,0,0,-1,-0.428571429
536,0,1,-1,0,0,-1,0.428571429
537,-1,0,0,0,0,-1,-0.428571429
538,-1,0,-1,-1,-1,-1,0.428571429
539,0,0,0,0,-1,-1,-0.428571429
540,0,0,-1,0,-1,-1,0.428571429
541,0,0,-1,0,0,1,-0.428571429
542,0,0,-1,-1,0,1,1
543,0,-1,-1,0,-1,-1,-0.428571429
544,0,0,-1,-1,0,-1,0.428571429
545,0,0,-1,-1,0,-1,-0.428571429
546,0,0,-1,0,0,-1,-0.428571429
547,0,0,-1,0,0,-1,0.428571429
548,0,0,-1,0,0,-1,0.428571429
549,-1,0,-1,-1,0,-1,0.428571429
550,1,0,0,0,0,-1,-0.428571429
551,0,0,-1,0,-1,-1,-1
552,-1,0,-1,-1,-1,-1,-0.428571429
553,0,0,-1,0,0,-1,-0.428571429
554,-1,0,0,-1,-1,-1,-0.428571429
555,0,0,-1,0,0,-1,0.428571429
556,0,0,-1,-1,-1,-1,0.428571429
557,0,0,-1,0,-1,-1,0.428571429
558,0,0,-1,-1,0,-1,-0.428571429
559,0,0,0,-1,-1,-1,0.428571429
560,0,0,-1,0,0,-1,-0.428571429
561,0,0,-1,0,-1,-1,-0.428571429
562,0,0,-1,0,0,-1,-1
563,-1,0,-1,-1,1,1,-0.428571429
564,0,0,-1,0,1,1,-0.428571429
565,0,0,0,0,0,1,-0.428571429
566,-1,0,-1,0,1,-1,0.428571429
567,0,0,-1,0,-1,-1,1
568,1,0,-1,0,0,-1,0.428571429
569,0,0,-1,0,0,-1,-0.428571429
570,-1,-1,-1,0,0,-1,-0.428571429
571,0,0,-1,0,0,-1,-0.428571429
572,0,-1,-1,0,0,-1,-0.428571429
573,0,1,0,0,0,-1,-1
574,0,0,-1,-1,0,1,-0.428571429
575,0,0,-1,0,0,1,0.428571429
576,0,0,-1,0,-1,-1,-0.428571429
577,-1,0,-1,-1,0,-1,-0.428571429
578,-1,0,-1,0,0,-1,0.428571429
579,0,0,-1,-1,0,-1,0.428571429
580,0,0,-1,0,-1,-1,-0.428571429
581,0,0,-1,-1,0,-1,-0.428571429
582,0,-1,-1,0,0,-1,-0.428571429
583,0,0,-1,0,-1,-1,-0.428571429
584,0,0,-1,0,-1,-1,-0.428571429
585,0,0,-1,0,-1,-1,-0.428571429
586,-1,0,-1,-1,0,-1,0.428571429
587,0,0,-1,0,0,-1,1
588,0,0,-1,0,0,-1,-0.428571429
589,-1,0,-1,0,0,-1,-1
590,0,0,-1,-1,0,-1,-0.428571429
591,0,0,-1,0,0,-1,1
592,0,0,-1,-1,1,-1,-0.428571429
593,0,0,0,0,0,-1,-1
594,1,0,-1,0,-1,-1,0.428571429
595,-1,0,-1,0,0,-1,-0.428571429
596,0,0,0,0,0,-1,0.428571429
597,0,0,-1,0,0,-1,-0.428571429
598,-1,0,-1,0,-1,1,0.428571429
599,0,0,-1,0,0,1,-1
600,0,0,0,0,0,1,0.428571429
601,0,0,-1,0,0,1,0.428571429
602,0,0,-1,0,-1,1,0.428571429
603,0,0,0,0,-1,-1,0.428571429
604,0,-1,0,0,0,-1,-0.428571429
605,-1,0,1,-1,0,-1,-0.428571429
606,-1,0,-1,0,0,1,-0.428571429
607,0,0,-1,0,0,1,1
608,0,0,-1,0,1,-1,1
609,0,0,0,-1,-1,-1,0.428571429
610,0,0,0,0,0,-1,-0.428571429
611,-1,0,-1,0,-1,-1,-0.428571429
612,-1,0,-1,0,-1,-1,-0.428571429
613,0,0,-1,0,-1,-1,0.428571429
614,0,0,-1,0,0,-1,0.428571429
615,0,1,-1,0,-1,-1,0.428571429
616,1,0,-1,0,-1,-1,-0.428571429
617,0,0,1,0,-1,-1,-0.428571429
618,1,0,-1,0,0,-1,0.428571429
619,-1,0,-1,0,0,-1,0.428571429
620,0,0,-1,0,0,-1,-0.428571429
621,0,0,-1,1,0,-1,1
622,0,0,-1,0,0,-1,0.428571429
623,0,0,0,0,-1,-1,0.428571429
624,0,0,-1,0,0,-1,-0.428571429
625,0,0,1,0,-1,-1,0.428571429
626,-1,0,-1,0,0,-1,-0.428571429
627,0,1,1,-1,0,-1,-0.428571429
628,0,0,-1,0,0,-1,-0.428571429
629,0,0,-1,0,0,1,0.428571429
630,0,0,-1,0,0,1,-0.428571429
