id,rebuttal,arxiv,reviewlevel,novel,motivation,experiment,relatework,readable,score
132,-0.466666667,-1,-0.333333333,0,0,-1,0,0,1
133,-1,-1,0.333333333,0,0,0,0,0,0.428571429
134,-0.866666667,-1,-1,0,1,0,0,0,1
135,-0.866666667,-1,-0.333333333,0,0,-1,0,0,0.428571429
136,-0.6,-1,0.333333333,1,0,1,0,0,0.428571429
137,-1,-1,1,0,0,-1,-1,0,-0.428571429
138,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
139,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
140,-1,-1,-0.333333333,0,0,-1,0,-1,1
141,-1,-1,-0.333333333,0,0,0,0,0,-1
142,-1,-1,1,0,0,-1,-1,0,-0.428571429
143,-0.866666667,-1,1,-1,0,-1,0,0,-0.428571429
144,-1,-1,-0.333333333,-1,0,-1,-1,0,-0.428571429
145,-1,-1,0.333333333,1,0,0,0,0,-0.428571429
146,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,-0.428571429
147,-0.6,-1,-0.333333333,-1,0,-1,-1,0,-0.428571429
148,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
149,-1,-1,0.333333333,0,-1,-1,-1,-1,0.428571429
150,-1,-1,-1,0,0,-1,0,0,0.428571429
151,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
152,-1,-1,-0.333333333,1,0,-1,-1,0,-0.428571429
153,-1,-1,-0.333333333,0,1,-1,0,-1,-0.428571429
154,-0.466666667,-1,-0.333333333,0,0,-1,0,-1,-0.428571429
155,-1,1,-0.333333333,0,0,1,0,0,1
156,-1,1,0.333333333,0,0,-1,-1,-1,0.428571429
157,-1,1,-1,-1,-1,-1,-1,-1,-0.428571429
158,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,0.428571429
159,-0.866666667,-1,0.333333333,0,0,-1,-1,0,0.428571429
160,-1,-1,1,0,0,-1,1,0,0.428571429
161,-0.866666667,1,-1,0,0,0,-1,0,1
162,-1,1,-0.333333333,-1,0,0,-1,-1,1
163,-1,-1,0.333333333,1,0,-1,0,0,0.428571429
164,-1,-1,-0.333333333,0,-1,-1,0,-1,-0.428571429
165,-1,-1,-0.333333333,-1,0,-1,0,0,-1
166,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
167,-1,-1,0.333333333,0,0,0,0,0,0.428571429
168,-1,-1,1,0,0,-1,0,0,1
169,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
170,-1,-1,1,0,-1,0,0,0,0.428571429
171,-1,-1,-1,0,0,-1,0,0,0.428571429
172,-0.866666667,-1,0.333333333,0,0,-1,0,0,0.428571429
173,-0.733333333,1,1,1,0,-1,-1,0,1
174,-0.733333333,1,-1,-1,0,-1,-1,0,1
175,-1,1,0.333333333,0,0,-1,0,0,1
176,-1,-1,1,1,0,-1,0,0,0.428571429
177,-1,-1,-1,-1,-1,0,0,-1,0.428571429
178,-1,-1,0.333333333,0,-1,0,0,0,-0.428571429
179,-1,-1,0.333333333,1,0,0,-1,0,0.428571429
180,-0.866666667,-1,-0.333333333,0,0,-1,0,0,-0.428571429
181,-1,-1,-1,-1,0,-1,0,0,0.428571429
182,-1,-1,0.333333333,-1,0,-1,0,-1,-0.428571429
183,-1,-1,1,-1,0,0,0,0,-0.428571429
184,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
185,-1,-1,0.333333333,0,0,-1,-1,0,-0.428571429
186,-0.866666667,-1,0.333333333,0,0,-1,0,0,-0.428571429
187,-0.866666667,-1,0.333333333,0,-1,-1,0,0,-0.428571429
188,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,-1
189,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
190,-1,-1,-0.333333333,1,0,0,-1,0,0.428571429
191,-1,-1,-1,0,0,0,0,0,1
192,-1,-1,-0.333333333,0,1,-1,0,-1,-0.428571429
193,-0.866666667,-1,0.333333333,-1,0,-1,0,0,-1
194,-0.866666667,-1,-1,0,0,-1,0,0,0.428571429
195,-0.866666667,-1,-1,-1,0,1,0,0,0.428571429
196,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
197,-1,-1,1,-1,0,-1,-1,0,0.428571429
198,-1,-1,1,0,0,0,0,1,-0.428571429
199,-1,-1,1,0,0,-1,-1,0,-0.428571429
200,-0.6,-1,-1,1,0,1,0,-1,-0.428571429
201,-0.866666667,-1,0.333333333,-1,0,-1,0,-1,0.428571429
202,-1,1,-0.333333333,0,0,0,0,0,0.428571429
203,-1,1,1,0,0,-1,0,-1,0.428571429
204,-1,1,-0.333333333,0,0,-1,0,0,0.428571429
205,-0.866666667,-1,-1,0,0,-1,-1,0,0.428571429
206,-0.6,-1,-1,-1,0,-1,-1,-1,0.428571429
207,-1,-1,1,0,0,-1,0,0,0.428571429
208,-1,-1,-0.333333333,0,-1,-1,0,0,0.428571429
209,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
210,-1,-1,1,-1,-1,-1,0,0,-1
211,-0.6,-1,0.333333333,-1,0,-1,0,0,-0.428571429
212,-1,-1,-0.333333333,0,0,0,0,0,0.428571429
213,-1,-1,1,0,0,-1,-1,0,1
214,-0.866666667,-1,-0.333333333,-1,0,0,0,0,0.428571429
215,-1,-1,-1,0,0,-1,-1,0,-0.428571429
216,-1,-1,-0.333333333,-1,0,0,0,0,-0.428571429
217,-1,-1,1,0,0,-1,0,-1,0.428571429
218,-0.866666667,-1,1,0,0,-1,-1,0,-0.428571429
219,-0.866666667,-1,0.333333333,-1,0,-1,-1,0,1
220,-1,-1,-0.333333333,-1,0,-1,0,-1,-0.428571429
221,-0.866666667,-1,-0.333333333,0,0,-1,0,0,0.428571429
222,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
223,-0.866666667,-1,0.333333333,1,-1,-1,0,-1,0.428571429
224,-0.733333333,-1,1,1,0,-1,0,0,0.428571429
225,-0.866666667,-1,-0.333333333,0,0,-1,0,0,-0.428571429
226,-1,-1,1,0,0,-1,0,0,-0.428571429
227,-0.866666667,-1,0.333333333,0,0,0,0,0,0.428571429
228,-0.866666667,-1,1,-1,0,-1,0,-1,-0.428571429
229,-1,-1,-1,0,0,0,0,0,0.428571429
230,-0.866666667,-1,0.333333333,0,0,1,0,0,1
231,-1,-1,0.333333333,0,0,0,-1,0,0.428571429
232,-1,-1,-1,-1,0,0,0,0,-0.428571429
233,-1,-1,0.333333333,1,0,0,0,0,-1
234,-0.733333333,-1,-0.333333333,1,0,0,0,0,-1
235,-1,-1,-0.333333333,0,0,-1,0,0,-1
236,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
237,-1,-1,1,1,0,-1,0,0,-0.428571429
238,-1,-1,1,-1,0,-1,0,0,-0.428571429
239,-0.6,-1,0.333333333,-1,0,-1,-1,0,0.428571429
240,-1,-1,-0.333333333,-1,0,1,-1,0,-0.428571429
241,-1,1,-1,0,0,0,0,1,0.428571429
242,-1,1,-0.333333333,0,0,0,0,0,0.428571429
243,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
244,-0.6,-1,1,0,-1,-1,0,0,-0.428571429
245,-1,-1,-0.333333333,-1,0,-1,0,-1,-0.428571429
246,-0.733333333,1,-0.333333333,0,-1,0,0,0,-0.428571429
247,-1,1,0.333333333,0,0,1,-1,0,0.428571429
248,-0.733333333,1,-0.333333333,0,0,0,0,0,-0.428571429
249,-0.866666667,1,1,1,-1,-1,0,-1,-1
250,-1,1,-1,-1,0,-1,0,-1,-0.428571429
251,-0.866666667,-1,-1,0,0,0,0,-1,-0.428571429
252,-1,-1,1,0,-1,-1,-1,-1,0.428571429
253,-0.733333333,-1,0.333333333,-1,0,-1,0,-1,0.428571429
254,-1,1,0.333333333,0,-1,0,0,0,0.428571429
255,-0.866666667,1,0.333333333,0,0,0,0,0,0.428571429
256,-1,1,-0.333333333,0,0,-1,0,-1,0.428571429
257,-1,-1,-1,0,1,-1,0,-1,-0.428571429
258,-1,-1,-1,0,0,1,0,0,0.428571429
259,-0.733333333,-1,-0.333333333,0,0,-1,0,-1,-0.428571429
260,-0.6,-1,0.333333333,0,1,-1,-1,0,0.428571429
261,-1,-1,0.333333333,1,0,-1,0,0,-0.428571429
262,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,-0.428571429
263,-1,-1,1,0,0,0,0,0,-1
264,-1,-1,1,0,0,-1,0,0,0.428571429
265,-0.866666667,-1,1,0,0,0,0,-1,-0.428571429
266,-0.733333333,-1,1,0,0,-1,0,0,-0.428571429
267,-1,-1,-0.333333333,0,0,0,0,0,-0.428571429
268,-1,-1,1,-1,0,0,0,0,-0.428571429
269,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
270,-1,-1,1,-1,-1,-1,-1,0,0.428571429
271,-1,-1,1,1,-1,-1,-1,-1,0.428571429
272,-0.866666667,1,-0.333333333,0,0,-1,0,0,-1
273,-1,1,1,0,0,1,0,0,1
274,-1,1,1,0,0,-1,0,0,1
275,-1,-1,-1,1,0,0,0,0,0.428571429
276,-0.866666667,-1,-0.333333333,1,0,-1,-1,0,1
277,-0.866666667,-1,-1,0,0,-1,0,-1,1
278,-0.866666667,-1,1,0,0,-1,-1,0,1
279,-0.866666667,-1,-0.333333333,0,0,-1,0,0,0.428571429
280,-1,-1,0.333333333,0,0,-1,-1,0,-0.428571429
281,-0.866666667,-1,0.333333333,-1,0,-1,-1,0,-0.428571429
282,-0.866666667,-1,0.333333333,1,0,1,-1,0,0.428571429
283,-1,-1,0.333333333,0,-1,-1,0,-1,-1
284,-1,-1,-0.333333333,0,1,1,0,0,-0.428571429
285,-1,-1,1,-1,0,-1,0,0,-0.428571429
286,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
287,-1,-1,-0.333333333,-1,0,-1,0,0,-1
288,-1,-1,0.333333333,0,0,0,-1,0,1
289,-1,-1,0.333333333,0,0,0,0,-1,-1
290,-1,-1,0.333333333,0,0,0,-1,0,-0.428571429
291,-1,-1,1,0,0,-1,0,0,-0.428571429
292,-0.733333333,-1,-0.333333333,0,0,-1,0,0,-0.428571429
293,-0.6,-1,0.333333333,-1,1,-1,0,0,-0.428571429
294,-1,-1,1,0,0,0,0,0,-1
295,-1,-1,-0.333333333,0,0,-1,0,0,1
296,-0.866666667,-1,0.333333333,0,0,-1,0,0,0.428571429
297,-1,-1,0.333333333,0,0,-1,0,0,-1
298,-1,-1,-0.333333333,0,0,-1,-1,0,1
299,-1,-1,1,0,0,0,0,0,-0.428571429
300,-1,-1,1,0,-1,-1,0,0,0.428571429
301,-1,-1,-0.333333333,-1,0,0,-1,-1,0.428571429
302,-1,-1,-0.333333333,0,1,0,0,0,0.428571429
303,-0.866666667,-1,0.333333333,0,0,-1,0,0,-0.428571429
304,-1,-1,1,0,0,-1,0,0,-0.428571429
305,-1,-1,0.333333333,0,0,0,0,0,0.428571429
306,-0.866666667,-1,0.333333333,0,1,0,-1,0,0.428571429
307,-0.2,-1,0.333333333,0,0,-1,0,0,1
308,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
309,-1,-1,0.333333333,0,0,-1,0,-1,0.428571429
310,-1,-1,-1,0,0,-1,0,0,0.428571429
311,-1,-1,1,0,0,-1,0,0,0.428571429
312,-1,-1,-1,0,0,1,0,0,0.428571429
313,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
314,-0.866666667,-1,0.333333333,0,0,1,0,0,1
315,-1,-1,-1,0,0,-1,-1,-1,-0.428571429
316,-0.866666667,-1,0.333333333,-1,0,0,0,0,-0.428571429
317,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
318,-0.733333333,-1,0.333333333,-1,0,-1,0,0,0.428571429
319,-1,-1,-0.333333333,0,1,-1,-1,0,0.428571429
320,-1,-1,0.333333333,0,0,-1,0,-1,-0.428571429
321,-1,1,1,-1,0,-1,0,0,0.428571429
322,-1,1,-1,0,0,0,0,0,0.428571429
323,-1,1,0.333333333,-1,0,-1,-1,0,-0.428571429
324,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
325,-1,-1,-0.333333333,0,0,1,0,0,0.428571429
326,-1,-1,-0.333333333,-1,0,0,0,-1,-1
327,-1,-1,-0.333333333,0,0,-1,-1,-1,-0.428571429
328,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
329,-0.6,-1,-0.333333333,0,0,-1,0,0,-0.428571429
330,-0.866666667,-1,0.333333333,-1,0,1,0,0,-0.428571429
331,-1,1,-0.333333333,1,0,0,0,0,0.428571429
332,-1,1,-0.333333333,0,1,-1,-1,0,1
333,-0.733333333,-1,1,0,0,-1,0,0,-0.428571429
334,-1,-1,0.333333333,0,0,-1,-1,0,-0.428571429
335,-1,-1,0.333333333,-1,0,-1,0,0,-0.428571429
336,-0.733333333,-1,-1,1,0,-1,-1,0,0.428571429
337,-1,-1,0.333333333,-1,0,0,0,0,-0.428571429
338,-1,-1,-0.333333333,0,1,-1,0,0,0.428571429
339,-0.6,-1,-0.333333333,1,0,-1,0,0,0.428571429
340,-1,-1,-0.333333333,-1,0,-1,1,0,0.428571429
341,-1,-1,0.333333333,0,0,-1,0,-1,-0.428571429
342,-1,-1,-0.333333333,0,-1,-1,-1,-1,-0.428571429
343,-1,-1,0.333333333,-1,-1,0,0,0,-0.428571429
344,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
345,-1,-1,-0.333333333,0,0,-1,0,-1,0.428571429
346,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
347,-1,-1,0.333333333,0,0,0,0,0,0.428571429
348,-0.866666667,-1,-1,0,0,-1,-1,0,0.428571429
349,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,0.428571429
350,-1,-1,-0.333333333,1,0,-1,0,-1,-0.428571429
351,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
352,-1,-1,-0.333333333,0,0,-1,0,-1,-1
353,-1,-1,0.333333333,-1,0,0,-1,0,-1
354,-1,-1,-1,-1,0,-1,0,0,0.428571429
355,-1,-1,0.333333333,-1,0,-1,-1,-1,-0.428571429
356,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
357,-0.733333333,-1,1,-1,0,1,0,0,-0.428571429
358,-1,-1,0.333333333,-1,0,0,0,0,0.428571429
359,-1,-1,1,0,0,0,0,0,0.428571429
360,-0.733333333,-1,-0.333333333,0,0,0,-1,0,1
361,-0.866666667,-1,-0.333333333,0,0,0,0,0,1
362,-0.866666667,-1,1,-1,0,0,0,0,-1
363,-0.733333333,-1,0.333333333,-1,0,-1,0,-1,0.428571429
364,-1,-1,1,0,0,-1,0,-1,-0.428571429
365,-1,1,-0.333333333,0,0,1,0,0,0.428571429
366,-0.866666667,1,-0.333333333,0,0,-1,-1,-1,-0.428571429
367,-0.866666667,1,1,0,0,1,0,0,0.428571429
368,-1,1,-0.333333333,0,1,0,0,0,0.428571429
369,-0.866666667,1,-0.333333333,0,0,-1,0,0,-1
370,-1,-1,-1,0,0,0,-1,0,-0.428571429
371,-0.733333333,-1,-1,0,0,0,0,-1,-0.428571429
372,-0.866666667,-1,0.333333333,0,-1,-1,0,0,1
373,-0.866666667,-1,-0.333333333,-1,0,-1,0,0,-0.428571429
374,-1,-1,-0.333333333,0,0,1,0,-1,-1
375,-1,-1,1,0,0,-1,0,0,-0.428571429
376,-1,-1,0.333333333,-1,-1,-1,-1,-1,-0.428571429
377,-1,-1,0.333333333,-1,0,-1,0,0,-0.428571429
378,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
379,-0.866666667,-1,0.333333333,-1,0,-1,0,0,-1
380,-1,-1,1,0,0,0,0,0,-0.428571429
381,-0.866666667,-1,-0.333333333,-1,-1,0,0,0,-0.428571429
382,-0.866666667,-1,-1,-1,0,0,0,0,0.428571429
383,-1,-1,-0.333333333,1,0,-1,0,-1,-0.428571429
384,-1,-1,0.333333333,-1,0,-1,-1,0,-0.428571429
385,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
386,-1,-1,-0.333333333,0,0,-1,0,0,0.428571429
387,-1,-1,-0.333333333,0,0,-1,-1,0,-0.428571429
388,-1,-1,1,0,0,-1,-1,0,0.428571429
389,-1,-1,-0.333333333,0,0,-1,0,0,1
390,-1,-1,-0.333333333,0,0,-1,0,0,-0.428571429
391,-0.866666667,-1,-1,-1,0,0,0,-1,-0.428571429
392,-1,1,-0.333333333,0,0,0,0,-1,0.428571429
393,-1,1,-0.333333333,-1,0,0,0,-1,-0.428571429
394,-0.866666667,1,1,0,0,-1,0,0,-1
395,-1,-1,1,-1,0,-1,-1,-1,-1
396,-1,-1,1,-1,0,1,0,0,-0.428571429
397,-0.733333333,-1,-1,0,0,-1,0,0,-0.428571429
398,-0.866666667,-1,-0.333333333,0,-1,-1,0,0,0.428571429
399,-1,-1,-0.333333333,0,0,-1,-1,0,-0.428571429
400,-1,-1,0.333333333,-1,0,0,-1,0,-1
401,-0.866666667,-1,0.333333333,0,0,0,-1,0,-0.428571429
402,-1,-1,-0.333333333,-1,0,-1,0,0,-0.428571429
403,-1,-1,-0.333333333,1,0,-1,0,-1,0.428571429
404,-0.733333333,-1,-1,0,0,-1,-1,-1,0.428571429
405,-0.866666667,-1,1,-1,0,-1,-1,0,-1
406,-0.6,-1,-0.333333333,-1,0,1,0,0,-0.428571429
407,-1,-1,0.333333333,-1,0,-1,0,1,-1
408,-1,-1,0.333333333,-1,0,1,0,-1,0.428571429
409,-0.733333333,-1,0.333333333,-1,0,-1,0,1,0.428571429
410,-0.866666667,-1,-0.333333333,0,0,-1,0,-1,-0.428571429
411,-1,-1,-1,0,0,-1,0,0,-0.428571429
412,-1,-1,0.333333333,0,0,1,0,0,0.428571429
413,-0.6,-1,-1,-1,0,-1,0,0,-0.428571429
414,-0.866666667,-1,1,-1,0,-1,0,0,0.428571429
415,-0.6,-1,-0.333333333,-1,0,-1,0,0,-0.428571429
416,-1,-1,-0.333333333,0,0,-1,0,0,-1
417,-1,-1,0.333333333,0,0,-1,-1,0,-1
418,-1,-1,-0.333333333,-1,0,-1,0,0,-1
419,-1,-1,0.333333333,0,0,0,-1,0,-1
420,-0.733333333,-1,0.333333333,-1,0,-1,0,0,-0.428571429
421,-1,-1,0.333333333,0,0,-1,0,0,-0.428571429
422,-1,-1,0.333333333,0,0,0,-1,0,1
423,-1,-1,0.333333333,0,0,-1,0,0,0.428571429
424,-1,-1,0.333333333,0,0,0,-1,0,1
425,-1,-1,1,0,1,-1,0,0,1
426,-1,-1,0.333333333,0,-1,-1,0,-1,1
427,-0.866666667,-1,-0.333333333,0,0,-1,1,-1,1
428,-1,-1,-0.333333333,0,1,-1,0,0,-0.428571429
429,-1,-1,1,-1,0,-1,0,0,-0.428571429
430,-0.866666667,-1,0.333333333,0,0,0,0,0,0.428571429
431,-1,-1,1,0,0,0,0,0,-1
432,-1,-1,-0.333333333,0,0,0,-1,0,-0.428571429
433,-1,-1,-0.333333333,0,0,-1,-1,0,-0.428571429
434,-1,-1,-1,-1,0,-1,0,-1,-1
435,-1,-1,0.333333333,0,0,-1,-1,0,-1
436,-1,-1,0.333333333,-1,0,0,0,-1,-1
437,-1,-1,0.333333333,0,0,-1,0,-1,0.428571429
438,-1,-1,-1,0,-1,-1,0,-1,-0.428571429
439,-1,-1,-0.333333333,0,1,-1,0,0,0.428571429
440,-0.733333333,-1,-1,0,0,-1,0,1,1
441,-1,-1,1,0,-1,-1,0,0,-0.428571429
442,-1,-1,-0.333333333,0,0,-1,0,0,1
443,-0.733333333,-1,0.333333333,0,0,-1,0,0,-1
