id,reviewlevel,novel,motivation,relatework,readable,arxiv,Fscore
65,1,1,0,0,-1,-1,-0.428571429
66,1,0,0,0,-1,1,-0.428571429
67,1,0,0,0,0,1,-0.428571429
68,-1,0,0,-1,0,1,0.428571429
69,0.333333333,0,0,0,0,-1,0.428571429
70,-1,0,0,0,0,-1,-0.428571429
71,-1,0,0,0,0,-1,0.428571429
72,-0.333333333,0,0,0,0,-1,1
73,-1,0,0,0,0,-1,0.428571429
74,0.333333333,-1,-1,0,-1,-1,-0.428571429
75,-0.333333333,0,0,0,0,-1,0.428571429
76,-0.333333333,1,0,0,1,-1,0.428571429
77,0.333333333,0,0,0,1,-1,0.428571429
78,-0.333333333,1,0,-1,-1,-1,-0.428571429
79,1,0,0,0,0,-1,1
80,1,-1,0,-1,0,-1,-1
81,1,0,0,0,0,-1,-0.428571429
82,0.333333333,-1,1,0,-1,1,0.428571429
83,1,0,1,0,-1,1,0.428571429
84,-0.333333333,0,0,0,-1,1,1
85,0.333333333,0,-1,0,-1,1,0.428571429
86,-1,0,0,0,0,1,-0.428571429
87,-1,-1,0,0,-1,1,-0.428571429
88,0.333333333,0,0,0,0,-1,-1
89,-0.333333333,-1,0,-1,1,-1,-0.428571429
90,1,0,0,0,0,-1,-0.428571429
91,0.333333333,0,-1,0,1,1,0.428571429
92,1,0,1,0,0,1,-0.428571429
93,0.333333333,0,0,0,0,1,-1
94,0.333333333,0,0,0,0,-1,0.428571429
95,0.333333333,0,0,0,0,-1,0.428571429
96,1,0,-1,-1,-1,-1,-1
97,-0.333333333,0,0,0,-1,-1,-1
98,1,0,0,0,-1,-1,-1
99,0.333333333,0,-1,-1,-1,-1,-1
100,0.333333333,0,0,0,-1,-1,-0.428571429
101,-0.333333333,0,0,0,0,-1,-0.428571429
102,1,-1,-1,-1,0,-1,-1
103,0.333333333,0,0,0,0,-1,-0.428571429
104,-0.333333333,-1,0,-1,0,-1,-0.428571429
105,0.333333333,-1,1,0,1,-1,-0.428571429
106,-0.333333333,0,0,0,0,-1,-0.428571429
107,-0.333333333,-1,0,0,1,-1,-0.428571429
108,-0.333333333,0,0,-1,0,-1,0.428571429
109,0.333333333,-1,0,0,0,-1,1
110,-0.333333333,-1,0,0,0,-1,-0.428571429
111,1,0,0,0,-1,-1,-0.428571429
112,-0.333333333,1,0,0,0,-1,0.428571429
113,-0.333333333,0,1,0,-1,-1,-0.428571429
114,-1,0,0,0,0,1,1
115,0.333333333,0,0,0,0,1,1
116,-0.333333333,0,0,0,0,1,-1
117,-0.333333333,0,0,0,0,1,-0.428571429
118,-0.333333333,0,0,0,0,1,0.428571429
119,0.333333333,0,0,1,-1,1,-0.428571429
120,1,0,0,0,0,-1,-0.428571429
121,-1,0,0,0,1,-1,0.428571429
122,0.333333333,0,0,-1,0,-1,0.428571429
123,0.333333333,-1,0,-1,-1,-1,-0.428571429
124,-1,0,0,0,0,-1,0.428571429
125,-0.333333333,0,0,-1,0,-1,0.428571429
126,-0.333333333,0,0,0,1,1,-0.428571429
127,-1,-1,-1,0,0,1,-0.428571429
128,-1,0,0,0,0,1,0.428571429
129,0.333333333,0,-1,0,0,-1,1
130,0.333333333,0,0,0,0,-1,1
131,-0.333333333,0,0,0,0,-1,1
132,0.333333333,0,0,0,0,-1,0.428571429
133,-1,0,1,0,0,-1,1
134,-0.333333333,0,0,0,0,-1,0.428571429
135,0.333333333,1,0,0,0,-1,0.428571429
136,1,0,0,-1,0,-1,-0.428571429
137,-0.333333333,0,0,0,0,-1,0.428571429
138,0.333333333,0,0,0,0,-1,-0.428571429
139,-0.333333333,0,0,0,-1,-1,1
140,-0.333333333,0,0,0,0,-1,-1
141,1,0,0,-1,0,-1,-0.428571429
142,1,-1,0,0,0,-1,-0.428571429
143,-0.333333333,-1,0,-1,0,-1,-1
144,0.333333333,1,0,0,0,-1,-0.428571429
145,-0.333333333,-1,0,0,0,-1,-0.428571429
146,-0.333333333,-1,0,-1,0,-1,-0.428571429
147,-0.333333333,0,0,0,0,-1,0.428571429
148,0.333333333,0,-1,-1,-1,-1,0.428571429
149,-1,0,0,0,0,-1,0.428571429
150,0.333333333,0,0,0,0,-1,-0.428571429
151,-0.333333333,1,0,-1,0,-1,-0.428571429
152,-0.333333333,0,1,0,-1,-1,-0.428571429
153,-0.333333333,0,0,0,-1,-1,-0.428571429
154,-0.333333333,0,0,0,0,1,1
155,0.333333333,0,0,-1,-1,1,0.428571429
156,-1,-1,-1,-1,-1,1,-1
157,-0.333333333,-1,0,0,0,-1,-0.428571429
158,0.333333333,0,0,-1,0,-1,-0.428571429
159,1,0,0,1,0,-1,0.428571429
160,-1,0,0,-1,0,1,1
161,-0.333333333,-1,0,-1,-1,1,1
162,0.333333333,1,0,0,0,-1,0.428571429
163,-0.333333333,0,-1,0,-1,-1,-0.428571429
164,-0.333333333,-1,0,0,0,-1,-1
165,-0.333333333,0,0,0,0,-1,-0.428571429
166,0.333333333,0,0,0,0,-1,0.428571429
167,1,0,0,0,0,-1,1
168,0.333333333,0,0,0,0,-1,-0.428571429
169,1,0,-1,0,0,-1,-0.428571429
170,-1,0,0,0,0,-1,0.428571429
171,0.333333333,0,0,0,0,-1,0.428571429
172,1,1,0,-1,0,1,0.428571429
173,-1,-1,0,-1,0,1,1
174,0.333333333,0,0,0,0,1,0.428571429
175,1,1,0,0,0,-1,0.428571429
176,-1,-1,-1,0,-1,-1,-0.428571429
177,0.333333333,0,-1,0,0,-1,-0.428571429
178,0.333333333,1,0,-1,0,-1,0.428571429
179,-0.333333333,0,0,0,0,-1,-0.428571429
180,-1,-1,0,0,0,-1,-0.428571429
181,0.333333333,-1,0,0,-1,-1,-0.428571429
182,1,-1,0,0,0,-1,-0.428571429
183,-0.333333333,0,0,0,0,-1,-0.428571429
184,0.333333333,0,0,-1,0,-1,-0.428571429
185,0.333333333,0,0,0,0,-1,-0.428571429
186,0.333333333,0,-1,0,0,-1,-0.428571429
187,-0.333333333,-1,0,0,0,-1,-1
188,0.333333333,0,0,0,0,-1,-0.428571429
189,-0.333333333,1,0,-1,0,-1,0.428571429
190,-1,0,0,0,0,-1,1
191,-0.333333333,0,1,0,-1,-1,-0.428571429
192,0.333333333,-1,0,0,0,-1,-1
193,-1,0,0,0,0,-1,-0.428571429
194,-1,-1,0,0,0,-1,0.428571429
195,0.333333333,0,0,0,0,-1,-0.428571429
196,1,-1,0,-1,0,-1,0.428571429
197,1,0,0,0,1,-1,-0.428571429
198,1,0,0,-1,0,-1,-0.428571429
199,-1,1,0,0,-1,-1,-0.428571429
200,0.333333333,-1,0,0,-1,-1,0.428571429
201,-0.333333333,0,0,0,0,1,0.428571429
202,1,0,0,0,-1,1,-0.428571429
203,-0.333333333,0,0,0,0,1,0.428571429
204,-1,0,0,-1,0,-1,0.428571429
205,-1,-1,0,-1,-1,-1,0.428571429
206,1,0,0,0,0,-1,0.428571429
207,-0.333333333,0,-1,0,0,-1,0.428571429
208,-0.333333333,0,0,0,0,-1,-0.428571429
209,1,-1,-1,0,0,-1,-1
210,0.333333333,-1,0,0,0,-1,-0.428571429
211,-0.333333333,0,0,0,0,-1,0.428571429
212,1,0,0,-1,0,-1,0.428571429
213,-0.333333333,-1,0,0,0,-1,0.428571429
214,-1,0,0,-1,0,-1,-0.428571429
215,-0.333333333,-1,0,0,0,-1,-0.428571429
216,1,0,0,0,-1,-1,0.428571429
217,1,0,0,-1,0,-1,-0.428571429
218,0.333333333,-1,0,-1,0,-1,1
219,-0.333333333,-1,0,0,-1,-1,-0.428571429
220,-0.333333333,0,0,0,0,-1,0.428571429
221,-0.333333333,0,0,0,0,-1,0.428571429
222,0.333333333,1,-1,0,-1,-1,-0.428571429
223,1,1,0,0,0,-1,0.428571429
224,-0.333333333,0,0,0,0,-1,-0.428571429
225,1,0,0,0,0,-1,-0.428571429
226,0.333333333,0,0,0,0,-1,0.428571429
227,1,-1,0,0,-1,-1,-0.428571429
228,-1,0,0,0,0,-1,0.428571429
229,0.333333333,0,0,0,0,-1,0.428571429
230,0.333333333,0,0,-1,0,-1,-0.428571429
231,-1,-1,0,0,0,-1,-0.428571429
232,0.333333333,1,0,0,0,-1,-1
233,-0.333333333,1,0,0,0,-1,-1
234,-0.333333333,0,0,0,0,-1,-1
235,0.333333333,0,0,0,0,-1,0.428571429
236,1,1,0,0,0,-1,-0.428571429
237,1,-1,0,0,0,-1,-0.428571429
238,0.333333333,-1,0,-1,0,-1,-0.428571429
239,-0.333333333,-1,0,-1,0,-1,-0.428571429
240,-1,0,0,0,1,1,0.428571429
241,-0.333333333,0,0,0,0,1,0.428571429
242,-0.333333333,0,0,0,0,-1,-0.428571429
243,1,0,-1,0,0,-1,-0.428571429
244,-0.333333333,-1,0,0,-1,-1,-0.428571429
245,-0.333333333,0,-1,0,0,1,-0.428571429
246,0.333333333,0,0,-1,0,1,0.428571429
247,-0.333333333,0,0,0,0,1,-0.428571429
248,1,1,-1,0,-1,1,-1
249,-1,-1,0,0,-1,1,-0.428571429
250,-1,0,0,0,-1,-1,-0.428571429
251,1,0,-1,-1,-1,-1,-0.428571429
252,0.333333333,-1,0,0,-1,-1,0.428571429
253,0.333333333,0,-1,0,0,1,0.428571429
254,0.333333333,0,0,0,0,1,-0.428571429
255,-0.333333333,0,0,0,-1,1,-0.428571429
256,-1,0,1,0,-1,-1,-0.428571429
257,-1,0,0,0,0,-1,0.428571429
258,-0.333333333,0,0,0,-1,-1,-0.428571429
259,0.333333333,0,1,-1,0,-1,0.428571429
260,0.333333333,1,0,0,0,-1,-0.428571429
261,-0.333333333,-1,0,0,0,-1,-1
262,1,0,0,0,0,-1,-1
263,1,0,0,0,0,-1,-0.428571429
264,1,0,0,0,-1,-1,-0.428571429
265,1,0,0,0,0,-1,-0.428571429
266,-0.333333333,0,0,0,0,-1,-0.428571429
267,1,-1,0,0,0,-1,-0.428571429
268,-0.333333333,0,0,0,0,-1,0.428571429
269,1,-1,-1,-1,0,-1,0.428571429
270,1,1,-1,-1,-1,-1,-0.428571429
271,-0.333333333,0,0,0,0,1,-1
272,1,0,0,0,0,1,1
273,1,0,0,0,0,1,0.428571429
274,-1,1,0,0,0,-1,0.428571429
275,-0.333333333,1,0,-1,0,-1,1
276,-1,0,0,0,-1,-1,1
277,1,0,0,-1,0,-1,0.428571429
278,-0.333333333,0,0,0,0,-1,0.428571429
279,0.333333333,0,0,-1,0,-1,0.428571429
280,0.333333333,-1,0,-1,0,-1,-0.428571429
281,0.333333333,1,0,-1,0,-1,1
282,0.333333333,0,-1,0,-1,-1,-1
283,-0.333333333,0,1,0,0,-1,-0.428571429
284,1,-1,0,0,0,-1,-0.428571429
285,-0.333333333,0,0,0,0,-1,-0.428571429
286,-0.333333333,-1,0,0,0,-1,-1
287,0.333333333,0,0,-1,0,-1,1
288,0.333333333,0,0,0,-1,-1,-1
289,0.333333333,0,0,-1,0,-1,-1
290,1,0,0,0,0,-1,-0.428571429
291,-0.333333333,0,0,0,0,-1,-0.428571429
292,0.333333333,-1,1,0,0,-1,-0.428571429
293,1,0,0,0,0,-1,-1
294,-0.333333333,0,0,0,0,-1,1
295,0.333333333,0,0,0,0,-1,0.428571429
296,0.333333333,0,0,0,0,-1,-1
297,-0.333333333,0,0,-1,0,-1,1
298,1,0,0,0,0,-1,-0.428571429
299,1,0,-1,0,0,-1,0.428571429
300,-0.333333333,-1,0,-1,-1,-1,0.428571429
301,-0.333333333,0,1,0,0,-1,0.428571429
302,0.333333333,0,0,0,0,-1,-0.428571429
303,1,0,0,0,0,-1,-1
304,0.333333333,0,0,0,0,-1,0.428571429
305,0.333333333,0,1,-1,0,-1,-0.428571429
306,0.333333333,0,0,0,0,-1,1
307,0.333333333,0,0,0,0,-1,0.428571429
308,0.333333333,0,0,0,-1,-1,0.428571429
309,-1,0,0,0,0,-1,0.428571429
310,1,0,0,0,0,-1,0.428571429
311,-1,0,0,0,0,-1,0.428571429
312,-0.333333333,0,0,0,0,-1,0.428571429
313,0.333333333,0,0,0,0,-1,1
314,-1,0,0,-1,-1,-1,-0.428571429
315,0.333333333,-1,0,0,0,-1,-0.428571429
316,0.333333333,0,0,0,0,-1,-0.428571429
317,0.333333333,-1,0,0,0,-1,0.428571429
318,-0.333333333,0,1,-1,0,-1,0.428571429
319,0.333333333,0,0,0,-1,-1,-0.428571429
320,1,-1,0,0,0,1,0.428571429
321,-1,0,0,0,0,1,0.428571429
322,0.333333333,-1,0,-1,0,1,-0.428571429
323,0.333333333,0,0,0,0,-1,0.428571429
324,-0.333333333,0,0,0,0,-1,0.428571429
325,-0.333333333,-1,0,0,-1,-1,-1
326,-0.333333333,0,0,-1,-1,-1,-0.428571429
327,-0.333333333,0,0,0,0,-1,-0.428571429
328,-0.333333333,0,0,0,0,-1,-0.428571429
329,0.333333333,-1,0,0,0,-1,-0.428571429
330,-0.333333333,1,0,0,0,1,0.428571429
331,-0.333333333,0,1,-1,0,1,1
332,1,0,0,0,0,-1,-0.428571429
333,0.333333333,0,0,-1,0,-1,-1
334,0.333333333,-1,0,0,0,-1,-0.428571429
335,-1,1,0,-1,0,-1,-0.428571429
336,0.333333333,-1,0,0,0,-1,-0.428571429
337,-0.333333333,0,1,0,0,-1,0.428571429
338,-0.333333333,1,0,0,0,-1,0.428571429
339,-0.333333333,-1,0,1,0,-1,0.428571429
340,0.333333333,0,0,0,-1,-1,-0.428571429
341,-0.333333333,0,-1,-1,-1,-1,-0.428571429
342,0.333333333,-1,-1,0,0,-1,-0.428571429
343,0.333333333,0,0,0,0,-1,0.428571429
344,-0.333333333,0,0,0,-1,-1,-0.428571429
345,-0.333333333,0,0,0,0,-1,0.428571429
346,0.333333333,0,0,0,0,-1,-0.428571429
347,-1,0,0,-1,0,-1,0.428571429
348,-0.333333333,-1,0,0,0,-1,0.428571429
349,-0.333333333,1,0,0,-1,-1,-0.428571429
350,0.333333333,0,0,0,0,-1,-0.428571429
351,-0.333333333,0,0,0,-1,-1,-1
352,0.333333333,-1,0,-1,0,-1,-1
353,-1,-1,0,0,0,-1,0.428571429
354,0.333333333,-1,0,-1,-1,-1,-1
355,0.333333333,0,0,0,0,-1,-0.428571429
356,1,-1,0,0,0,-1,-0.428571429
357,0.333333333,-1,0,0,0,-1,0.428571429
358,1,0,0,0,0,-1,0.428571429
359,-0.333333333,0,0,-1,0,-1,1
360,-0.333333333,0,0,0,0,-1,1
361,1,-1,0,0,0,-1,-1
362,0.333333333,-1,0,0,-1,-1,0.428571429
363,1,0,0,0,-1,-1,-0.428571429
364,-0.333333333,0,0,0,0,1,0.428571429
365,-0.333333333,0,0,-1,-1,1,-1
366,1,0,0,0,0,1,0.428571429
367,-0.333333333,0,1,0,0,1,0.428571429
368,-0.333333333,0,0,0,0,1,-1
369,-1,0,0,-1,0,-1,-0.428571429
370,-1,0,0,0,-1,-1,-0.428571429
371,0.333333333,0,-1,0,0,-1,0.428571429
372,-0.333333333,-1,0,0,0,-1,-0.428571429
373,-0.333333333,0,0,0,-1,-1,-1
374,1,0,0,0,0,-1,-0.428571429
375,0.333333333,-1,-1,-1,-1,-1,-0.428571429
376,0.333333333,-1,0,0,0,-1,-0.428571429
377,0.333333333,0,0,0,0,-1,-0.428571429
378,0.333333333,-1,0,0,0,-1,-1
379,1,0,0,0,0,-1,-0.428571429
380,-0.333333333,-1,-1,0,0,-1,-0.428571429
381,-1,-1,0,0,0,-1,0.428571429
382,-0.333333333,1,0,0,-1,-1,-0.428571429
383,0.333333333,-1,0,-1,0,-1,-0.428571429
384,0.333333333,0,0,0,0,-1,-0.428571429
385,-0.333333333,0,0,0,0,-1,0.428571429
386,-0.333333333,0,0,-1,0,-1,-0.428571429
387,1,0,0,-1,0,-1,-0.428571429
388,-0.333333333,0,0,0,0,-1,1
389,-0.333333333,0,0,0,0,-1,-0.428571429
390,-1,-1,0,0,-1,-1,-0.428571429
391,-0.333333333,0,0,0,-1,1,0.428571429
392,-0.333333333,-1,0,0,-1,1,-0.428571429
393,1,0,0,0,0,1,-1
394,1,-1,0,-1,-1,-1,-1
395,1,-1,0,0,0,-1,-0.428571429
396,-1,0,0,0,0,-1,-0.428571429
397,-0.333333333,0,-1,0,0,-1,0.428571429
398,-0.333333333,0,0,-1,0,-1,-0.428571429
399,0.333333333,-1,0,-1,0,-1,-1
400,0.333333333,0,0,-1,0,-1,-0.428571429
401,-0.333333333,-1,0,0,0,-1,-0.428571429
402,-0.333333333,1,0,0,-1,-1,0.428571429
403,-1,0,0,-1,-1,-1,0.428571429
404,1,-1,0,-1,0,-1,-1
405,-0.333333333,-1,0,0,0,-1,-0.428571429
406,0.333333333,-1,0,0,1,-1,-1
407,0.333333333,-1,0,0,-1,-1,0.428571429
408,0.333333333,-1,0,0,1,-1,-0.428571429
409,-0.333333333,0,0,0,-1,-1,-0.428571429
410,-1,0,0,0,0,-1,-0.428571429
411,0.333333333,0,0,0,0,-1,0.428571429
412,-1,-1,0,0,0,-1,-0.428571429
413,1,-1,0,0,0,-1,0.428571429
414,-0.333333333,-1,0,0,0,-1,-0.428571429
415,-0.333333333,0,0,0,0,-1,-1
416,0.333333333,0,0,-1,0,-1,-1
417,-0.333333333,-1,0,0,0,-1,-1
418,0.333333333,0,0,-1,0,-1,-1
419,0.333333333,-1,0,0,0,-1,-0.428571429
420,0.333333333,0,0,0,0,-1,-0.428571429
421,0.333333333,0,0,-1,0,-1,1
422,0.333333333,0,0,0,0,-1,-0.428571429
423,0.333333333,0,0,-1,0,-1,-0.428571429
424,1,0,1,0,0,-1,0.428571429
425,0.333333333,0,-1,0,-1,-1,1
426,-0.333333333,0,0,1,-1,-1,0.428571429
427,-0.333333333,0,1,0,0,-1,-0.428571429
428,1,-1,0,0,0,-1,-0.428571429
429,0.333333333,0,0,0,0,-1,0.428571429
430,1,0,0,0,0,-1,-1
431,-0.333333333,0,0,-1,0,-1,-0.428571429
432,-0.333333333,0,0,-1,0,-1,-0.428571429
433,-1,-1,0,0,-1,-1,-1
434,0.333333333,0,0,-1,0,-1,-1
435,0.333333333,-1,0,0,-1,-1,-1
436,0.333333333,0,0,0,-1,-1,-0.428571429
437,-1,0,-1,0,-1,-1,-1
438,-0.333333333,0,1,0,0,-1,0.428571429
439,-1,0,0,0,1,-1,1
440,1,0,-1,0,0,-1,-1
441,-0.333333333,0,0,0,0,-1,0.428571429
442,0.333333333,0,0,0,0,-1,-1
443,1,0,0,0,0,-1,-0.428571429
444,-0.333333333,0,0,0,0,-1,-0.428571429
445,1,0,0,-1,0,-1,-0.428571429
446,-1,-1,-1,0,0,-1,-0.428571429
447,-1,-1,0,0,0,-1,-1
448,0.333333333,0,0,0,0,-1,-1
449,-0.333333333,0,0,0,0,1,-0.428571429
450,1,-1,0,0,-1,1,-0.428571429
451,0.333333333,0,0,0,0,1,0.428571429
452,-1,-1,0,0,0,-1,-0.428571429
453,-0.333333333,0,0,0,0,-1,-0.428571429
454,1,0,0,0,0,-1,-1
455,1,0,0,0,0,-1,-0.428571429
456,1,0,-1,-1,0,-1,-1
457,1,-1,-1,0,0,-1,-0.428571429
458,-0.333333333,0,0,-1,0,-1,-0.428571429
459,-1,-1,0,0,0,-1,-0.428571429
460,1,-1,0,0,0,-1,-1
461,-0.333333333,-1,0,0,0,-1,-1
462,-1,0,0,0,-1,-1,0.428571429
463,-0.333333333,0,1,-1,-1,-1,0.428571429
464,-0.333333333,0,0,0,0,-1,0.428571429
465,-1,0,1,0,-1,-1,0.428571429
466,1,0,0,0,-1,-1,-0.428571429
467,1,-1,0,0,0,-1,-0.428571429
468,-0.333333333,0,0,-1,0,-1,-0.428571429
469,-1,0,0,0,0,-1,-0.428571429
470,-0.333333333,-1,0,0,0,-1,-1
471,-0.333333333,0,-1,0,-1,1,0.428571429
472,0.333333333,0,0,0,0,1,0.428571429
473,1,0,-1,0,0,1,-0.428571429
474,-0.333333333,0,0,0,0,-1,-0.428571429
475,-0.333333333,0,0,0,0,-1,-0.428571429
476,-0.333333333,0,0,0,-1,-1,-0.428571429
477,0.333333333,0,0,0,0,-1,0.428571429
478,0.333333333,-1,0,0,-1,-1,0.428571429
479,-1,0,0,0,0,-1,-0.428571429
480,0.333333333,0,-1,0,0,-1,0.428571429
481,0.333333333,0,0,0,0,-1,-0.428571429
482,0.333333333,0,0,0,-1,-1,-0.428571429
483,1,-1,0,0,0,-1,-1
484,-1,0,-1,0,-1,-1,-0.428571429
485,0.333333333,-1,0,0,0,-1,-0.428571429
486,-1,0,0,0,-1,-1,-1
487,-0.333333333,0,0,-1,-1,-1,0.428571429
488,-0.333333333,0,0,0,-1,-1,-1
489,-1,0,0,-1,-1,-1,0.428571429
490,-0.333333333,0,0,-1,-1,-1,-0.428571429
491,-0.333333333,0,0,0,0,-1,-1
492,0.333333333,0,-1,0,0,-1,-1
493,0.333333333,1,-1,0,0,-1,-0.428571429
494,1,0,0,-1,-1,-1,-0.428571429
495,1,0,-1,-1,0,-1,-0.428571429
496,0.333333333,0,0,-1,0,-1,-1
497,1,-1,0,0,0,-1,-0.428571429
498,-1,0,0,-1,0,-1,0.428571429
499,-0.333333333,-1,-1,0,-1,-1,-0.428571429
500,-0.333333333,0,-1,0,0,-1,-0.428571429
501,-0.333333333,0,-1,0,0,-1,-1
502,1,0,1,0,0,-1,-0.428571429
503,1,0,0,0,0,-1,0.428571429
504,0.333333333,-1,0,0,0,-1,-0.428571429
505,1,0,-1,0,0,-1,-1
506,-1,0,0,0,0,-1,0.428571429
507,0.333333333,-1,0,0,-1,-1,-0.428571429
508,-1,0,0,0,0,-1,-0.428571429
509,-0.333333333,0,0,0,0,-1,0.428571429
510,1,-1,-1,1,0,-1,0.428571429
511,0.333333333,-1,0,-1,-1,-1,-0.428571429
512,-0.333333333,0,0,0,0,-1,0.428571429
513,0.333333333,0,0,0,0,-1,1
514,0.333333333,0,0,0,0,-1,0.428571429
515,-0.333333333,0,0,0,0,-1,1
516,-0.333333333,0,0,0,0,-1,0.428571429
517,0.333333333,0,0,0,0,-1,0.428571429
518,0.333333333,0,0,0,0,-1,0.428571429
519,-1,-1,0,0,0,-1,-0.428571429
520,-0.333333333,0,0,-1,0,-1,-0.428571429
521,-1,1,0,0,1,-1,-0.428571429
522,0.333333333,0,0,-1,0,-1,-0.428571429
523,0.333333333,0,0,0,0,-1,-0.428571429
524,0.333333333,-1,-1,0,0,-1,1
525,-0.333333333,0,0,0,0,-1,-0.428571429
526,-0.333333333,-1,0,0,0,-1,-0.428571429
527,0.333333333,-1,-1,0,0,-1,0.428571429
528,-1,0,0,-1,-1,-1,-0.428571429
529,0.333333333,0,0,0,0,-1,0.428571429
530,0.333333333,0,0,0,0,-1,-0.428571429
531,1,0,-1,0,0,-1,-0.428571429
532,-0.333333333,-1,0,0,0,-1,0.428571429
533,-0.333333333,0,1,0,0,-1,-0.428571429
534,-1,0,0,0,0,-1,-0.428571429
535,-0.333333333,0,1,0,0,-1,0.428571429
536,1,-1,0,0,0,-1,-0.428571429
537,0.333333333,-1,0,-1,-1,-1,0.428571429
538,1,0,0,0,-1,-1,-0.428571429
539,-1,0,0,0,-1,-1,0.428571429
540,0.333333333,0,0,0,0,1,-0.428571429
541,0.333333333,0,0,-1,0,1,1
542,-1,0,-1,0,-1,-1,-0.428571429
543,-0.333333333,0,0,-1,0,-1,0.428571429
544,-0.333333333,0,0,-1,0,-1,-0.428571429
545,-0.333333333,0,0,0,0,-1,-0.428571429
546,-0.333333333,0,0,0,0,-1,0.428571429
547,-0.333333333,0,0,0,0,-1,0.428571429
548,1,-1,0,-1,0,-1,0.428571429
549,-0.333333333,1,0,0,0,-1,-0.428571429
550,0.333333333,0,0,0,-1,-1,-1
551,-0.333333333,-1,0,-1,-1,-1,-0.428571429
552,1,0,0,0,0,-1,-0.428571429
553,-1,-1,0,-1,-1,-1,-0.428571429
554,-0.333333333,0,0,0,0,-1,0.428571429
555,1,0,0,-1,-1,-1,0.428571429
556,-0.333333333,0,0,0,-1,-1,0.428571429
557,1,0,0,-1,0,-1,-0.428571429
558,1,0,0,-1,-1,-1,0.428571429
559,-1,0,0,0,0,-1,-0.428571429
560,1,0,0,0,-1,-1,-0.428571429
561,-0.333333333,0,0,0,0,-1,-1
562,0.333333333,-1,0,-1,1,1,-0.428571429
563,0.333333333,0,0,0,1,1,-0.428571429
564,-0.333333333,0,0,0,0,1,-0.428571429
565,-0.333333333,-1,0,0,1,-1,0.428571429
566,-0.333333333,0,0,0,-1,-1,1
567,0.333333333,1,0,0,0,-1,0.428571429
