id,reviewlevel,novel,motivation,experiment,relatework,readable,arxiv,Fscore
88,-1,-1,0,-1,0,-1,1,-0.428571429
89,0.333333333,0,0,-1,0,0,-1,-1
90,-0.333333333,-1,0,-1,-1,1,-1,-0.428571429
91,1,0,0,-1,0,0,-1,-0.428571429
92,0.333333333,0,-1,1,0,1,1,0.428571429
93,1,0,1,-1,0,0,1,-0.428571429
94,0.333333333,0,0,-1,0,0,1,-1
95,0.333333333,0,0,-1,0,0,-1,0.428571429
96,0.333333333,0,0,0,0,0,-1,0.428571429
97,1,0,-1,-1,-1,-1,-1,-1
98,-0.333333333,0,0,-1,0,-1,-1,-1
99,1,0,0,0,0,-1,-1,-1
100,0.333333333,0,-1,0,-1,-1,-1,-1
101,0.333333333,0,0,-1,0,-1,-1,-0.428571429
102,-0.333333333,0,0,-1,0,0,-1,-0.428571429
103,1,-1,-1,-1,-1,0,-1,-1
104,0.333333333,0,0,-1,0,0,-1,-0.428571429
105,-0.333333333,-1,0,-1,-1,0,-1,-0.428571429
106,0.333333333,-1,1,-1,0,1,-1,-0.428571429
107,-0.333333333,0,0,-1,0,0,-1,-0.428571429
108,-0.333333333,-1,0,-1,0,1,-1,-0.428571429
109,-0.333333333,0,0,0,-1,0,-1,0.428571429
110,0.333333333,-1,0,-1,0,0,-1,1
111,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
112,1,0,0,0,0,-1,-1,-0.428571429
113,-0.333333333,1,0,-1,0,0,-1,0.428571429
114,-0.333333333,0,1,-1,0,-1,-1,-0.428571429
115,-1,0,0,-1,0,0,1,1
116,0.333333333,0,0,-1,0,0,1,1
117,-0.333333333,0,0,-1,0,0,1,-1
118,-0.333333333,0,0,-1,0,0,1,-0.428571429
119,-0.333333333,0,0,0,0,0,1,0.428571429
120,0.333333333,0,0,-1,1,-1,1,-0.428571429
121,1,0,0,-1,0,0,-1,-0.428571429
122,-1,0,0,-1,0,1,-1,0.428571429
123,0.333333333,0,0,-1,-1,0,-1,0.428571429
124,0.333333333,-1,0,-1,-1,-1,-1,-0.428571429
125,-1,0,0,-1,0,0,-1,0.428571429
126,-0.333333333,0,0,-1,-1,0,-1,0.428571429
127,-0.333333333,0,0,0,0,1,1,-0.428571429
128,-1,-1,-1,-1,0,0,1,-0.428571429
129,-1,0,0,-1,0,0,1,0.428571429
130,0.333333333,0,-1,-1,0,0,-1,1
131,0.333333333,0,0,-1,0,0,-1,1
132,-0.333333333,0,0,-1,0,0,-1,1
133,0.333333333,0,0,0,0,0,-1,0.428571429
134,-1,0,1,0,0,0,-1,1
135,-0.333333333,0,0,-1,0,0,-1,0.428571429
136,0.333333333,1,0,1,0,0,-1,0.428571429
137,1,0,0,-1,-1,0,-1,-0.428571429
138,-0.333333333,0,0,-1,0,0,-1,0.428571429
139,0.333333333,0,0,-1,0,0,-1,-0.428571429
140,-0.333333333,0,0,-1,0,-1,-1,1
141,-0.333333333,0,0,0,0,0,-1,-1
142,1,0,0,-1,-1,0,-1,-0.428571429
143,1,-1,0,-1,0,0,-1,-0.428571429
144,-0.333333333,-1,0,-1,-1,0,-1,-1
145,0.333333333,1,0,0,0,0,-1,-0.428571429
146,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
147,-0.333333333,-1,0,-1,-1,0,-1,-0.428571429
148,-0.333333333,0,0,-1,0,0,-1,0.428571429
149,0.333333333,0,-1,-1,-1,-1,-1,0.428571429
150,-1,0,0,-1,0,0,-1,0.428571429
151,0.333333333,0,0,-1,0,0,-1,-0.428571429
152,-0.333333333,1,0,-1,-1,0,-1,-0.428571429
153,-0.333333333,0,1,-1,0,-1,-1,-0.428571429
154,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
155,-0.333333333,0,0,1,0,0,1,1
156,0.333333333,0,0,-1,-1,-1,1,0.428571429
157,-1,-1,-1,-1,-1,-1,1,-1
158,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
159,0.333333333,0,0,-1,-1,0,-1,-0.428571429
160,1,0,0,-1,1,0,-1,0.428571429
161,-1,0,0,0,-1,0,1,1
162,-0.333333333,-1,0,0,-1,-1,1,1
163,0.333333333,1,0,-1,0,0,-1,0.428571429
164,-0.333333333,0,-1,-1,0,-1,-1,-0.428571429
165,-0.333333333,-1,0,-1,0,0,-1,-1
166,-0.333333333,0,0,-1,0,0,-1,-0.428571429
167,0.333333333,0,0,0,0,0,-1,0.428571429
168,1,0,0,-1,0,0,-1,1
169,0.333333333,0,0,-1,0,0,-1,-0.428571429
170,1,0,-1,0,0,0,-1,-0.428571429
171,-1,0,0,-1,0,0,-1,0.428571429
172,0.333333333,0,0,-1,0,0,-1,0.428571429
173,1,1,0,-1,-1,0,1,0.428571429
174,-1,-1,0,-1,-1,0,1,1
175,0.333333333,0,0,-1,0,0,1,0.428571429
176,1,1,0,-1,0,0,-1,0.428571429
177,-1,-1,-1,0,0,-1,-1,-0.428571429
178,0.333333333,0,-1,0,0,0,-1,-0.428571429
179,0.333333333,1,0,0,-1,0,-1,0.428571429
180,-0.333333333,0,0,-1,0,0,-1,-0.428571429
181,-1,-1,0,-1,0,0,-1,-0.428571429
182,0.333333333,-1,0,-1,0,-1,-1,-0.428571429
183,1,-1,0,0,0,0,-1,-0.428571429
184,-0.333333333,0,0,-1,0,0,-1,-0.428571429
185,0.333333333,0,0,-1,-1,0,-1,-0.428571429
186,0.333333333,0,0,-1,0,0,-1,-0.428571429
187,0.333333333,0,-1,-1,0,0,-1,-0.428571429
188,-0.333333333,-1,0,-1,0,0,-1,-1
189,0.333333333,0,0,-1,0,0,-1,-0.428571429
190,-0.333333333,1,0,0,-1,0,-1,0.428571429
191,-1,0,0,0,0,0,-1,1
192,-0.333333333,0,1,-1,0,-1,-1,-0.428571429
193,0.333333333,-1,0,-1,0,0,-1,-1
194,-1,0,0,-1,0,0,-1,-0.428571429
195,-1,-1,0,1,0,0,-1,0.428571429
196,0.333333333,0,0,-1,0,0,-1,-0.428571429
197,1,-1,0,-1,-1,0,-1,0.428571429
198,1,0,0,0,0,1,-1,-0.428571429
199,1,0,0,-1,-1,0,-1,-0.428571429
200,-1,1,0,1,0,-1,-1,-0.428571429
201,0.333333333,-1,0,-1,0,-1,-1,0.428571429
202,-0.333333333,0,0,0,0,0,1,0.428571429
203,1,0,0,-1,0,-1,1,-0.428571429
204,-0.333333333,0,0,-1,0,0,1,0.428571429
205,-1,0,0,-1,-1,0,-1,0.428571429
206,-1,-1,0,-1,-1,-1,-1,0.428571429
207,1,0,0,-1,0,0,-1,0.428571429
208,-0.333333333,0,-1,-1,0,0,-1,0.428571429
209,-0.333333333,0,0,-1,0,0,-1,-0.428571429
210,1,-1,-1,-1,0,0,-1,-1
211,0.333333333,-1,0,-1,0,0,-1,-0.428571429
212,-0.333333333,0,0,0,0,0,-1,0.428571429
213,1,0,0,-1,-1,0,-1,0.428571429
214,-0.333333333,-1,0,0,0,0,-1,0.428571429
215,-1,0,0,-1,-1,0,-1,-0.428571429
216,-0.333333333,-1,0,0,0,0,-1,-0.428571429
217,1,0,0,-1,0,-1,-1,0.428571429
218,1,0,0,-1,-1,0,-1,-0.428571429
219,0.333333333,-1,0,-1,-1,0,-1,1
220,-0.333333333,-1,0,-1,0,-1,-1,-0.428571429
221,-0.333333333,0,0,-1,0,0,-1,0.428571429
222,-0.333333333,0,0,-1,0,0,-1,0.428571429
223,0.333333333,1,-1,-1,0,-1,-1,-0.428571429
224,1,1,0,-1,0,0,-1,0.428571429
225,-0.333333333,0,0,-1,0,0,-1,-0.428571429
226,1,0,0,-1,0,0,-1,-0.428571429
227,0.333333333,0,0,0,0,0,-1,0.428571429
228,1,-1,0,-1,0,-1,-1,-0.428571429
229,-1,0,0,0,0,0,-1,0.428571429
230,0.333333333,0,0,1,0,0,-1,0.428571429
231,0.333333333,0,0,0,-1,0,-1,-0.428571429
232,-1,-1,0,0,0,0,-1,-0.428571429
233,0.333333333,1,0,0,0,0,-1,-1
234,-0.333333333,1,0,0,0,0,-1,-1
235,-0.333333333,0,0,-1,0,0,-1,-1
236,0.333333333,0,0,-1,0,0,-1,0.428571429
237,1,1,0,-1,0,0,-1,-0.428571429
238,1,-1,0,-1,0,0,-1,-0.428571429
239,0.333333333,-1,0,-1,-1,0,-1,-0.428571429
240,-0.333333333,-1,0,1,-1,0,-1,-0.428571429
241,-1,0,0,0,0,1,1,0.428571429
242,-0.333333333,0,0,0,0,0,1,0.428571429
243,-0.333333333,0,0,-1,0,0,-1,-0.428571429
244,1,0,-1,-1,0,0,-1,-0.428571429
245,-0.333333333,-1,0,-1,0,-1,-1,-0.428571429
246,-0.333333333,0,-1,0,0,0,1,-0.428571429
247,0.333333333,0,0,1,-1,0,1,0.428571429
248,-0.333333333,0,0,0,0,0,1,-0.428571429
249,1,1,-1,-1,0,-1,1,-1
250,-1,-1,0,-1,0,-1,1,-0.428571429
251,-1,0,0,0,0,-1,-1,-0.428571429
252,1,0,-1,-1,-1,-1,-1,-0.428571429
253,0.333333333,-1,0,-1,0,-1,-1,0.428571429
254,0.333333333,0,-1,0,0,0,1,0.428571429
255,0.333333333,0,0,0,0,0,1,-0.428571429
256,-0.333333333,0,0,-1,0,-1,1,-0.428571429
257,-1,0,1,-1,0,-1,-1,-0.428571429
258,-1,0,0,1,0,0,-1,0.428571429
259,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
260,0.333333333,0,1,-1,-1,0,-1,0.428571429
261,0.333333333,1,0,-1,0,0,-1,-0.428571429
262,-0.333333333,-1,0,-1,0,0,-1,-1
263,1,0,0,0,0,0,-1,-1
264,1,0,0,-1,0,0,-1,-0.428571429
265,1,0,0,0,0,-1,-1,-0.428571429
266,1,0,0,-1,0,0,-1,-0.428571429
267,-0.333333333,0,0,0,0,0,-1,-0.428571429
268,1,-1,0,0,0,0,-1,-0.428571429
269,-0.333333333,0,0,-1,0,0,-1,0.428571429
270,1,-1,-1,-1,-1,0,-1,0.428571429
271,1,1,-1,-1,-1,-1,-1,-0.428571429
272,-0.333333333,0,0,-1,0,0,1,-1
273,1,0,0,1,0,0,1,1
274,1,0,0,-1,0,0,1,0.428571429
275,-1,1,0,0,0,0,-1,0.428571429
276,-0.333333333,1,0,-1,-1,0,-1,1
277,-1,0,0,-1,0,-1,-1,1
278,1,0,0,-1,-1,0,-1,0.428571429
279,-0.333333333,0,0,-1,0,0,-1,0.428571429
280,0.333333333,0,0,-1,-1,0,-1,0.428571429
281,0.333333333,-1,0,-1,-1,0,-1,-0.428571429
282,0.333333333,1,0,1,-1,0,-1,1
283,0.333333333,0,-1,-1,0,-1,-1,-1
284,-0.333333333,0,1,1,0,0,-1,-0.428571429
285,1,-1,0,-1,0,0,-1,-0.428571429
286,-0.333333333,0,0,-1,0,0,-1,-0.428571429
287,-0.333333333,-1,0,-1,0,0,-1,-1
288,0.333333333,0,0,0,-1,0,-1,1
289,0.333333333,0,0,0,0,-1,-1,-1
290,0.333333333,0,0,0,-1,0,-1,-1
291,1,0,0,-1,0,0,-1,-0.428571429
292,-0.333333333,0,0,-1,0,0,-1,-0.428571429
293,0.333333333,-1,1,-1,0,0,-1,-0.428571429
294,1,0,0,0,0,0,-1,-1
295,-0.333333333,0,0,-1,0,0,-1,1
296,0.333333333,0,0,-1,0,0,-1,0.428571429
297,0.333333333,0,0,-1,0,0,-1,-1
298,-0.333333333,0,0,-1,-1,0,-1,1
299,1,0,0,0,0,0,-1,-0.428571429
300,1,0,-1,-1,0,0,-1,0.428571429
301,-0.333333333,-1,0,0,-1,-1,-1,0.428571429
302,-0.333333333,0,1,0,0,0,-1,0.428571429
303,0.333333333,0,0,-1,0,0,-1,-0.428571429
304,1,0,0,-1,0,0,-1,-1
305,0.333333333,0,0,0,0,0,-1,0.428571429
306,0.333333333,0,1,0,-1,0,-1,-0.428571429
307,0.333333333,0,0,-1,0,0,-1,1
308,0.333333333,0,0,-1,0,0,-1,0.428571429
309,0.333333333,0,0,-1,0,-1,-1,0.428571429
310,-1,0,0,-1,0,0,-1,0.428571429
311,1,0,0,-1,0,0,-1,0.428571429
312,-1,0,0,1,0,0,-1,0.428571429
313,-0.333333333,0,0,-1,0,0,-1,0.428571429
314,0.333333333,0,0,1,0,0,-1,1
315,-1,0,0,-1,-1,-1,-1,-0.428571429
316,0.333333333,-1,0,0,0,0,-1,-0.428571429
317,0.333333333,0,0,-1,0,0,-1,-0.428571429
318,0.333333333,-1,0,-1,0,0,-1,0.428571429
319,-0.333333333,0,1,-1,-1,0,-1,0.428571429
320,0.333333333,0,0,-1,0,-1,-1,-0.428571429
321,1,-1,0,-1,0,0,1,0.428571429
322,-1,0,0,0,0,0,1,0.428571429
323,0.333333333,-1,0,-1,-1,0,1,-0.428571429
324,0.333333333,0,0,-1,0,0,-1,0.428571429
325,-0.333333333,0,0,1,0,0,-1,0.428571429
326,-0.333333333,-1,0,0,0,-1,-1,-1
327,-0.333333333,0,0,-1,-1,-1,-1,-0.428571429
328,-0.333333333,0,0,-1,0,0,-1,-0.428571429
329,-0.333333333,0,0,-1,0,0,-1,-0.428571429
330,0.333333333,-1,0,1,0,0,-1,-0.428571429
331,-0.333333333,1,0,0,0,0,1,0.428571429
332,-0.333333333,0,1,-1,-1,0,1,1
333,1,0,0,-1,0,0,-1,-0.428571429
334,0.333333333,0,0,-1,-1,0,-1,-1
335,0.333333333,-1,0,-1,0,0,-1,-0.428571429
336,-1,1,0,-1,-1,0,-1,-0.428571429
337,0.333333333,-1,0,0,0,0,-1,-0.428571429
338,-0.333333333,0,1,-1,0,0,-1,0.428571429
339,-0.333333333,1,0,-1,0,0,-1,0.428571429
340,-0.333333333,-1,0,-1,1,0,-1,0.428571429
341,0.333333333,0,0,-1,0,-1,-1,-0.428571429
342,-0.333333333,0,-1,-1,-1,-1,-1,-0.428571429
343,0.333333333,-1,-1,0,0,0,-1,-0.428571429
344,0.333333333,0,0,-1,0,0,-1,0.428571429
345,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
346,-0.333333333,0,0,-1,0,0,-1,0.428571429
347,0.333333333,0,0,0,0,0,-1,-0.428571429
348,-1,0,0,-1,-1,0,-1,0.428571429
349,-0.333333333,-1,0,-1,0,0,-1,0.428571429
350,-0.333333333,1,0,-1,0,-1,-1,-0.428571429
351,0.333333333,0,0,-1,0,0,-1,-0.428571429
352,-0.333333333,0,0,-1,0,-1,-1,-1
353,0.333333333,-1,0,0,-1,0,-1,-1
354,-1,-1,0,-1,0,0,-1,0.428571429
355,0.333333333,-1,0,-1,-1,-1,-1,-1
356,0.333333333,0,0,-1,0,0,-1,-0.428571429
357,1,-1,0,1,0,0,-1,-0.428571429
358,0.333333333,-1,0,0,0,0,-1,0.428571429
359,1,0,0,0,0,0,-1,0.428571429
360,-0.333333333,0,0,0,-1,0,-1,1
361,-0.333333333,0,0,0,0,0,-1,1
362,1,-1,0,0,0,0,-1,-1
363,0.333333333,-1,0,-1,0,-1,-1,0.428571429
364,1,0,0,-1,0,-1,-1,-0.428571429
365,-0.333333333,0,0,1,0,0,1,0.428571429
366,-0.333333333,0,0,-1,-1,-1,1,-1
367,1,0,0,1,0,0,1,0.428571429
368,-0.333333333,0,1,0,0,0,1,0.428571429
369,-0.333333333,0,0,-1,0,0,1,-1
370,-1,0,0,0,-1,0,-1,-0.428571429
371,-1,0,0,0,0,-1,-1,-0.428571429
372,0.333333333,0,-1,-1,0,0,-1,0.428571429
373,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
374,-0.333333333,0,0,1,0,-1,-1,-1
375,1,0,0,-1,0,0,-1,-0.428571429
376,0.333333333,-1,-1,-1,-1,-1,-1,-0.428571429
377,0.333333333,-1,0,-1,0,0,-1,-0.428571429
378,0.333333333,0,0,-1,0,0,-1,-0.428571429
379,0.333333333,-1,0,-1,0,0,-1,-1
380,1,0,0,0,0,0,-1,-0.428571429
381,-0.333333333,-1,-1,0,0,0,-1,-0.428571429
382,-1,-1,0,0,0,0,-1,0.428571429
383,-0.333333333,1,0,-1,0,-1,-1,-0.428571429
384,0.333333333,-1,0,-1,-1,0,-1,-0.428571429
385,0.333333333,0,0,-1,0,0,-1,-0.428571429
386,-0.333333333,0,0,-1,0,0,-1,0.428571429
387,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
388,1,0,0,-1,-1,0,-1,-0.428571429
389,-0.333333333,0,0,-1,0,0,-1,1
390,-0.333333333,0,0,-1,0,0,-1,-0.428571429
391,-1,-1,0,0,0,-1,-1,-0.428571429
392,-0.333333333,0,0,0,0,-1,1,0.428571429
393,-0.333333333,-1,0,0,0,-1,1,-0.428571429
394,1,0,0,-1,0,0,1,-1
395,1,-1,0,-1,-1,-1,-1,-1
396,1,-1,0,1,0,0,-1,-0.428571429
397,-1,0,0,-1,0,0,-1,-0.428571429
398,-0.333333333,0,-1,-1,0,0,-1,0.428571429
399,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
400,0.333333333,-1,0,0,-1,0,-1,-1
401,0.333333333,0,0,0,-1,0,-1,-0.428571429
402,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
403,-0.333333333,1,0,-1,0,-1,-1,0.428571429
404,-1,0,0,-1,-1,-1,-1,0.428571429
405,1,-1,0,-1,-1,0,-1,-1
406,-0.333333333,-1,0,1,0,0,-1,-0.428571429
407,0.333333333,-1,0,-1,0,1,-1,-1
408,0.333333333,-1,0,1,0,-1,-1,0.428571429
409,0.333333333,-1,0,-1,0,1,-1,-0.428571429
410,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
411,-1,0,0,-1,0,0,-1,-0.428571429
412,0.333333333,0,0,1,0,0,-1,0.428571429
413,-1,-1,0,-1,0,0,-1,-0.428571429
414,1,-1,0,-1,0,0,-1,0.428571429
415,-0.333333333,-1,0,-1,0,0,-1,-0.428571429
416,-0.333333333,0,0,-1,0,0,-1,-1
417,0.333333333,0,0,-1,-1,0,-1,-1
418,-0.333333333,-1,0,-1,0,0,-1,-1
419,0.333333333,0,0,0,-1,0,-1,-1
420,0.333333333,-1,0,-1,0,0,-1,-0.428571429
421,0.333333333,0,0,-1,0,0,-1,-0.428571429
422,0.333333333,0,0,0,-1,0,-1,1
423,0.333333333,0,0,-1,0,0,-1,-0.428571429
424,0.333333333,0,0,0,-1,0,-1,-0.428571429
425,1,0,1,-1,0,0,-1,0.428571429
426,0.333333333,0,-1,-1,0,-1,-1,1
427,-0.333333333,0,0,-1,1,-1,-1,0.428571429
428,-0.333333333,0,1,-1,0,0,-1,-0.428571429
429,1,-1,0,-1,0,0,-1,-0.428571429
430,0.333333333,0,0,0,0,0,-1,0.428571429
431,1,0,0,0,0,0,-1,-1
432,-0.333333333,0,0,0,-1,0,-1,-0.428571429
433,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
434,-1,-1,0,-1,0,-1,-1,-1
435,0.333333333,0,0,-1,-1,0,-1,-1
436,0.333333333,-1,0,0,0,-1,-1,-1
437,0.333333333,0,0,-1,0,-1,-1,-0.428571429
438,-1,0,-1,-1,0,-1,-1,-1
439,-0.333333333,0,1,-1,0,0,-1,0.428571429
440,-1,0,0,-1,0,1,-1,1
441,1,0,-1,-1,0,0,-1,-1
442,-0.333333333,0,0,-1,0,0,-1,0.428571429
443,0.333333333,0,0,-1,0,0,-1,-1
444,1,0,0,0,0,0,-1,-0.428571429
445,-0.333333333,0,0,-1,0,0,-1,-0.428571429
446,1,0,0,-1,-1,0,-1,-0.428571429
447,-1,-1,-1,-1,0,0,-1,-0.428571429
448,-1,-1,0,-1,0,0,-1,-1
449,0.333333333,0,0,0,0,0,-1,-1
450,-0.333333333,0,0,-1,0,0,1,-0.428571429
451,1,-1,0,-1,0,-1,1,-0.428571429
452,0.333333333,0,0,0,0,0,1,0.428571429
453,-1,-1,0,-1,0,0,-1,-0.428571429
454,-0.333333333,0,0,0,0,0,-1,-0.428571429
455,1,0,0,-1,0,0,-1,-1
456,1,0,0,-1,0,0,-1,-0.428571429
457,1,0,-1,-1,-1,0,-1,-1
458,1,-1,-1,-1,0,0,-1,-0.428571429
459,-0.333333333,0,0,0,-1,0,-1,-0.428571429
460,-1,-1,0,0,0,0,-1,-0.428571429
461,1,-1,0,-1,0,0,-1,-1
462,-0.333333333,-1,0,-1,0,0,-1,-1
463,-1,0,0,-1,0,-1,-1,0.428571429
464,-0.333333333,0,1,-1,-1,-1,-1,0.428571429
465,-0.333333333,0,0,-1,0,0,-1,0.428571429
466,-1,0,1,0,0,-1,-1,0.428571429
467,1,0,0,-1,0,-1,-1,-0.428571429
468,1,-1,0,0,0,0,-1,-0.428571429
469,-0.333333333,0,0,-1,-1,0,-1,-0.428571429
470,-1,0,0,0,0,0,-1,-0.428571429
471,-0.333333333,-1,0,-1,0,0,-1,-1
472,-0.333333333,0,-1,0,0,-1,1,0.428571429
473,0.333333333,0,0,-1,0,0,1,0.428571429
474,1,0,-1,0,0,0,1,-0.428571429
475,-0.333333333,0,0,-1,0,0,-1,-0.428571429
476,-0.333333333,0,0,0,0,0,-1,-0.428571429
477,-0.333333333,0,0,-1,0,-1,-1,-0.428571429
478,0.333333333,0,0,-1,0,0,-1,0.428571429
479,0.333333333,-1,0,-1,0,-1,-1,0.428571429
480,-1,0,0,-1,0,0,-1,-0.428571429
481,0.333333333,0,-1,1,0,0,-1,0.428571429
482,0.333333333,0,0,-1,0,0,-1,-0.428571429
483,0.333333333,0,0,-1,0,-1,-1,-0.428571429
484,1,-1,0,-1,0,0,-1,-1
485,-1,0,-1,-1,0,-1,-1,-0.428571429
486,0.333333333,-1,0,0,0,0,-1,-0.428571429
487,-1,0,0,-1,0,-1,-1,-1
488,-0.333333333,0,0,-1,-1,-1,-1,0.428571429
489,-0.333333333,0,0,-1,0,-1,-1,-1
490,-1,0,0,0,-1,-1,-1,0.428571429
491,-0.333333333,0,0,-1,-1,-1,-1,-0.428571429
492,-0.333333333,0,0,-1,0,0,-1,-1
493,0.333333333,0,-1,-1,0,0,-1,-1
494,0.333333333,1,-1,1,0,0,-1,-0.428571429
495,1,0,0,-1,-1,-1,-1,-0.428571429
496,1,0,-1,-1,-1,0,-1,-0.428571429
497,0.333333333,0,0,0,-1,0,-1,-1
498,1,-1,0,-1,0,0,-1,-0.428571429
499,-1,0,0,-1,-1,0,-1,0.428571429
500,-0.333333333,-1,-1,-1,0,-1,-1,-0.428571429
501,-0.333333333,0,-1,-1,0,0,-1,-0.428571429
502,-0.333333333,0,-1,-1,0,0,-1,-1
503,1,0,1,-1,0,0,-1,-0.428571429
504,1,0,0,0,0,0,-1,0.428571429
505,0.333333333,-1,0,-1,0,0,-1,-0.428571429
506,1,0,-1,-1,0,0,-1,-1
507,-1,0,0,-1,0,0,-1,0.428571429
508,0.333333333,-1,0,-1,0,-1,-1,-0.428571429
509,-1,0,0,0,0,0,-1,-0.428571429
510,-0.333333333,0,0,-1,0,0,-1,0.428571429
511,1,-1,-1,1,1,0,-1,0.428571429
512,0.333333333,-1,0,-1,-1,-1,-1,-0.428571429
513,-0.333333333,0,0,1,0,0,-1,0.428571429
